Date,^GSPC,0,5,10,15,20,25,30,35,40
2014-01-03,-0.0003330203,0.0026680734,-0.0002285521,-0.0016814154,-0.0012157466,-0.0028339252,-0.0016715601,0.0002636146,0.0013802238,0.0006642947
2014-01-06,-0.0025149269,-0.0019913819,-0.0039357394,-0.0053402754,-0.0055877548,-0.0063337274,-0.0047670566,-0.0025186483,-0.0033491012,-0.0033711446
2014-01-07,0.0060633452,0.0044383761,-0.00017705,0.0037327595,0.0049756821,0.0040086154,0.0037020519,0.0053170677,0.0062432047,0.0058509321
2014-01-08,-0.0002122317,-0.0025918707,-0.0034861248,6.67832791805E-05,-0.0008679256,0.0011758599,0.0001977123,0.0012950189,0.0021497477,-0.0003908128
2014-01-09,0.0003482487,0.0043398459,0.0017112195,0.0015795939,0.0024665799,0.0019639432,0.0016588308,0.0031300727,0.0034532957,0.0030413074
2014-01-10,0.0023040304,-0.0009337198,-0.0020255987,0.0020006476,0.0028107092,0.0031380448,0.0023730658,0.0045019668,0.0052892733,0.0032639457
2014-01-13,-0.0126559665,-0.0107435379,-0.0118044335,-0.0119073289,-0.0127352122,-0.0143849663,-0.0139384568,-0.0131170209,-0.0104527585,-0.011594641
2014-01-14,0.0107598763,0.0106508303,0.0098406728,0.0125589352,0.0090667186,0.0094681364,0.0093576647,0.0113999974,0.0110064466,0.0125062913
2014-01-15,0.0051528891,0.0029088743,0.0001139548,0.0004685493,0.0008822121,-4.4509768486E-05,0.0004553162,0.0021818802,0.0009154771,0.0015293052
2014-01-16,-0.0013480284,0.0001815762,4.39323484898E-05,0.0007001916,-0.0056926962,-0.0046592727,-0.0022025034,-0.004018303,-0.0049699359,-0.0023572138
2014-01-17,-0.0039027806,-0.0008775406,-0.0032574255,-0.0029171733,-0.0045476314,-0.0053098537,-0.0048238207,-0.002569899,-0.0016008504,-0.0021576043
