Date,^GSPC,0,5,10,15,20,25,30,35,40
2016-01-05,0.0020102043,0.0095626144,0.0068924697,0.0104420809,0.0104993833,0.0115301767,0.0101047158,0.0083286297,0.0051185321,0.0065633324
2016-01-06,-0.0132021629,-0.0052536409,-0.0105530452,-0.0116504887,-0.0152722206,-0.016410023,-0.0145672671,-0.0147196781,-0.020788826,-0.0165643282
2016-01-07,-0.0239858165,-0.0096057858,-0.0169465337,-0.0210278369,-0.0205382276,-0.0218755193,-0.0236268062,-0.0208199043,-0.0255679023,-0.0205203518
2016-01-08,-0.0108975377,-0.0074824449,-0.0112558845,-0.0106782885,-0.0124193244,-0.0140764751,-0.0152541231,-0.0121179614,-0.0113744969,-0.012927142
2016-01-11,0.0008529085,0.001245847,-0.0083564352,-0.0070385253,-0.0059470534,-0.0117999315,-0.0068286322,-0.002452869,-0.0119998557,-0.009547147
2016-01-12,0.0077725142,0.0100459605,0.0046345145,0.0045709079,0.0030247997,0.0023231693,0.0018210337,0.0022251233,0.0039489456,0.0037465924
2016-01-13,-0.0252823754,-0.0160039533,-0.020713741,-0.0254309922,-0.0277376119,-0.0354878493,-0.0312657133,-0.0287371371,-0.0263122041,-0.0281191245
2016-01-14,0.0165580612,0.0106938733,0.0143915312,0.01321851,0.0160026476,0.0069645345,0.0135196559,0.0142349098,0.0112896133,0.0122822979
2016-01-15,-0.0218357728,-0.0138727743,-0.0112150405,-0.0057537192,-0.0153443534,-0.0171716027,-0.0198013205,-0.0105216913,-0.0131033193,-0.0197483301
2016-01-19,0.0005316802,0.0081716813,-0.0006285366,-0.0006048325,-0.0002450459,-0.0029492527,-0.002754081,0.0005200654,-4.92986291647E-05,0.0005627526
2016-01-20,-0.011762766,-0.0124993939,-0.0121044759,-0.0098197842,-0.0136489775,-0.0138975494,-0.0123351589,-0.0095538758,-0.0108133936,-0.0121826576
2016-01-21,0.0051819885,0.0032859538,0.002467839,0.01321851,0.0052894102,0.0062116422,0.0062579587,0.0079885703,0.0126617979,0.013606864
2016-01-22,0.0200807268,0.0166041441,0.0111164097,0.0123081822,0.0094590252,0.0152384369,0.0171515942,0.0196032096,0.0185661111,0.0139118303
