Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2016-02-22,0.0143507313,0.0143507313,0.0068319011,0.0139644453,0.0146863051,0.0104808891,0.009847546,0.008069762,0.0119800474,0.0169139523,0.0129291359
2016-02-23,-0.0125325773,0.01,-0.003822393,0.0006952193,-0.0005022658,0.0023431033,-0.0006906014,-0.0003099041,-0.0009860146,0.0040620957,-0.0022250731
2016-02-24,0.0044299599,0.0044299599,-0.0014926451,0.0028627762,0.0152205145,0.0012505576,-0.0006906012,-0.0003099063,0.006706493,0.0049260473,0.0015929844
2016-02-25,0.0112843666,0.0112843666,0.0115867797,0.0097018173,0.0100045502,0.012446221,0.01081465,0.0086479327,0.0119800493,0.0112547483,0.01323976
2016-02-26,-0.0018718652,-0.0018718652,-0.000153603,-0.0003723521,-0.0005022658,-0.0052320026,0.000023156,-0.000309902,0.0081059281,0.0046526864,-0.0004113652
2016-02-29,-0.0081541314,-0.0081541314,0.0020166531,0.0001324709,-0.0005022658,-0.0070997253,-0.0006906013,-0.0003099042,0.0142815523,0.0084251501,0.0078120548
2016-03-01,0.0235883859,0.0235883859,0.0187101737,0.019031968,0.0141493278,0.0162995867,0.0134232379,0.0186184384,0.0119800493,0.0158406273,0.016832687
2016-03-02,0.0040859496,0.0040859496,0.0028717013,0.0089822197,0.0031524384,0.0064965365,0.0077433125,0.0090822848,0.0119800474,0.0128269568,0.0076496871
2016-03-03,0.0034926342,0.0034926342,0.0018051977,0.0058863955,-0.0227501132,-0.0001029223,0.0051150979,0.0052626384,0.0119017661,0.0034832526,0.0053970646
2016-03-04,0.00330044,0.00330044,0.0017161563,0.0083678719,-0.0014156414,0.0043558292,0.0014714231,0.001868553,0.0111910701,0.0027150083,0.0034500156
2016-03-07,0.000884623,0.000884623,-0.0015643761,-0.0001256717,-0.0005022658,-0.0022590086,-0.0006906014,0.0013411718,0.0040362445,0.0066645863,0.0029041939
2016-03-08,-0.0113037561,0.01,-0.0021647888,-0.0010297587,-0.0005022621,0.0097408891,-0.0006906013,-0.000309902,0.0234882385,0.0197908357,0.0078120548
2016-03-09,0.0050396728,0.0050396728,0.007796417,0.0091888942,0.0119125368,0.0066521857,0.003217665,-0.000309902,0.0053139343,0.005987755,0.0048145829
2016-03-10,0.0001557925,0.0001557925,0.000780815,0.0041598054,-0.0005022658,-0.0014120657,0.004442024,-0.000036807,0.0018498723,0.0015007164,-0.0004526926
2016-03-11,0.0162625455,0.0162625455,0.0115708401,0.012625061,0.0155078517,0.0148834689,0.0151052307,0.0151794069,0.0119800474,0.01748381,0.0183100943
2016-03-14,-0.0012617682,-0.0012617682,0.0001394243,0.0016933675,-0.000502264,-0.00067899,-0.0006906013,-0.0003099042,0.000611042,0.0014569219,-0.0015711719
2016-03-15,-0.001838631,-0.001838631,0.0046951342,0.0022707335,-0.000502264,-0.005263865,-0.0006906013,-0.0003099042,0.0046350886,0.0042924052,0.0078120534
