Date,SnP Return,0,5,10,15,20,25,30,35,40
29/2/2016,-0.008154131,-0.011038839,-0.009222144,-0.016422236,-0.010789618,-0.012442458,-0.030497901,-0.036557272,-0.029462503,-0.031112261
1/3/2016,0.023588386,0.009195864,0.009527182,0.012290696,0.016754989,0.01631484,0.010418857,0.01842292,0.027995177,0.021015633
2/3/2016,0.00408595,0.000203984,0.007559689,0.014242497,0.00909882,0.006598501,0.007258114,0.006967849,-0.00678363,0.005873888
3/3/2016,0.003492634,-0.001858109,0.000631413,-0.00335156,-0.00510386,-0.007188347,-0.01104992,-0.008003915,-0.01925833,-0.010130487
4/3/2016,0.00330044,-0.001652338,0.004965205,0.002923361,0.001461438,-0.000877267,-0.007831277,-0.001597804,-0.013625278,-0.003912147
7/3/2016,0.000884623,-0.006511411,-0.010355591,-0.00541971,-0.005347541,-0.008625722,-0.00468234,-0.001580584,-0.002301923,0.003528956
8/3/2016,-0.011303756,-0.003292667,-0.014760968,-0.025818925,-0.02398674,-0.028862506,-0.033184238,-0.042243518,-0.034594797,-0.036452759
9/3/2016,0.005039673,0.000925162,0.002628536,0.003138287,0.005786564,0.000483564,-0.003599749,0.008162365,-0.000153695,-0.001834599
10/3/2016,0.000155793,-0.0015101,0.00022065,-0.002924528,-0.004341339,-0.011421481,-0.011167346,-0.011411852,-0.009958075,-0.011811204
11/3/2016,0.016262546,0.006569575,0.004032452,0.013354356,0.016075337,0.010655283,0.012234561,0.023485336,0.015670849,0.022826221
14/3/2016,-0.001261768,-0.002113806,-0.001142926,-0.003336559,0.000446545,-0.004433885,-0.004014832,-0.005852237,-0.003621257,-0.005245541
15/3/2016,-0.001838631,0.00365934,-0.005259889,-0.018361973,-0.017675417,-0.021161126,-0.037928835,-0.044396542,-0.034315683,-0.03628929
16/3/2016,0.005584728,0.000607877,0.005513498,-0.001547936,0.001036742,-0.003350343,0.002961615,0.004212187,0.002814607,0.006254356
17/3/2016,0.006573583,0.004925681,0.007774759,0.004605284,0.003001954,-0.002108821,-0.004798195,-0.000584264,-0.003427331,-0.008158708
18/3/2016,0.004395967,-0.002802009,-0.006223374,-0.001332782,0.000671186,0.000343454,-0.004636035,-0.00247603,-0.002726805,-0.003163066
21/3/2016,0.000985092,-0.005822026,-0.007335514,-0.000482707,0.000417445,-0.004226029,-0.009031205,0.000392438,-0.008917557,-0.005081034
22/3/2016,-0.000877773,-0.007595502,-0.00730697,-0.006304639,-0.004912168,-0.009188704,-0.004564633,-0.004972662,-0.006888426,-0.000132226
23/3/2016,-0.00640651,-0.000997841,-0.013363107,-0.019956656,-0.017290039,-0.022619391,-0.028001895,-0.031643908,-0.019523384,-0.023753382
24/3/2016,-0.000378142,-0.000552276,-0.000484676,-0.002243271,-0.003128018,-0.006896763,-0.005752163,-0.002451649,-0.006073439,-0.001731272
28/3/2016,0.000545107,0.000333321,-0.000806505,-0.00468251,-0.004274148,-0.008594409,-0.011363735,-0.018016227,-0.00989821,-0.011116745
29/3/2016,0.008778012,0.00460388,0.002052217,0.005037344,0.007082596,0.00292587,0.004044613,0.008973058,0.004076104,0.010747353
30/3/2016,0.00434088,-0.000901689,-0.002089317,-0.005594864,-0.002948674,-0.006415947,-0.00900989,-0.00440749,-0.008129596,-0.002918562
31/3/2016,-0.002041842,-0.00278934,-0.003098369,-0.001972945,-8.17E-06,-0.004141462,-0.006106337,-0.004532447,-0.012268801,-0.002807582
1/4/2016,0.006310959,0.004605868,-0.001234344,0.00517313,0.005386828,-0.000347508,-0.004316442,-0.003650655,-0.000279519,-0.001354188
4/4/2016,-0.00321348,-0.008453262,-0.009984756,-0.01210927,-0.013319758,-0.017510001,-0.017254092,-0.018518467,-0.021568701,-0.017875418
5/4/2016,-0.010196298,-0.007544939,-0.011164455,-0.014018894,-0.014143537,-0.014680604,-0.0235858,-0.028565124,-0.022930617,-0.022278689
6/4/2016,0.010452798,0.000235718,-0.000376802,0.005196557,0.008661676,0.009457281,0.010826438,0.013482817,0.009639638,0.020084471
7/4/2016,-0.012048074,-0.00584843,-0.009706881,-0.012756797,-0.012637074,-0.015998097,-0.02145607,-0.023288939,-0.022813659,-0.021184396
8/4/2016,0.002782703,0.001837633,0.002939059,0.001549769,0.001296534,-0.002841598,-0.003364544,-0.001059094,-0.005262809,-0.003080085
11/4/2016,-0.002743546,-0.007045685,-0.00528285,-0.010975722,-0.011529467,-0.014498622,-0.01814617,-0.010651532,-0.020197015,-0.02311625
12/4/2016,0.009615754,0.003543483,0.008058378,0.001341828,0.000373973,-0.001208159,-0.001502705,-0.006468067,-0.010701293,0.000855352
13/4/2016,0.00999007,-0.005752145,-0.003724012,0.002961584,0.006439333,0.003323751,0.003391579,0.011759627,0.004144011,0.0063764
14/4/2016,0.000172912,-0.00778994,-0.010684556,-0.013820358,-0.010772539,-0.012876131,-0.013174913,-0.007619491,-0.0153268,-0.009558022
15/4/2016,-0.00098477,0.001532747,0.000760004,-4.46E-05,-0.001730287,-0.005217472,-0.011053814,-0.00946468,-0.010861599,-0.01080492
18/4/2016,0.006519726,0.002943543,-0.000703175,0.00374295,0.005218176,-0.000573282,0.003785735,0.006670481,0.004140841,0.009759797
19/4/2016,0.003079738,-0.00514068,-0.00455569,-0.004821872,-0.003578149,-0.004431045,-0.010278879,-0.035536133,-0.026090123,-0.022435138
20/4/2016,0.000761255,-0.011741588,-0.010421114,-0.008980564,-0.005670084,-0.008145474,-0.008874283,-0.005237192,-0.009039918,-0.007753875
21/4/2016,-0.005207563,-0.018012797,-0.022937421,-0.017754056,-0.016221555,-0.015631158,-0.014347812,-0.012635224,-0.014725367,-0.006698316
22/4/2016,4.79E-05,0.001720161,0.000931744,0.003447969,0.003716564,-0.00133979,0.00332458,0.001647788,-0.005403776,0.002706045
25/4/2016,-0.00181369,0.000225972,-0.007201562,-0.009882051,-0.009702369,-0.01406963,-0.021560529,-0.018129528,-0.019029586,-0.021875503
26/4/2016,0.001871,-0.004180089,-0.006274752,-0.001215289,0.001840351,-0.004877377,-0.00551725,-0.00047082,-0.005007163,-0.002091741
27/4/2016,0.001647994,-0.00680315,-0.002272702,-0.000818662,-0.000240728,-0.002128689,-0.007225221,-0.004324967,-0.006384471,-0.006934334
28/4/2016,-0.009273636,0.003428025,0.000247445,-0.005301201,-0.007138645,-0.01008671,-0.01964839,-0.025955118,-0.016884193,-0.023259085
29/4/2016,-0.005075949,-0.004558184,0.000854678,-0.009304525,-0.010760874,-0.011187758,-0.010411981,-0.018468071,-0.01084602,-0.022688372
2/5/2016,0.007779607,0.008089874,0.005355889,0.00031267,0.00283049,-0.001763166,-0.003970974,-0.004254093,0.002803092,-0.001154292
3/5/2016,-0.0087145,-0.003486111,-0.013511586,-0.01058683,-0.00818476,-0.009808798,-0.014705411,-0.022673268,-0.013598085,-0.013074139
4/5/2016,-0.005954583,0.002814155,-0.002749087,-0.006696481,-0.007602192,-0.014348698,-0.015289875,-0.017801851,-0.012602302,-0.014900938
5/5/2016,-0.000239037,-0.000336504,-0.007890992,-0.005817928,-0.002194034,-0.005431789,-0.010810808,-0.00153912,-0.0075151,-0.010123622
6/5/2016,0.003169611,0.001478858,0.003196556,-0.001104975,7.32E-05,-0.00248753,-0.03162317,-0.023450907,-0.023608902,-0.030618915
9/5/2016,0.000753213,0.000824858,-0.011039773,-0.005249675,-0.0006941,-0.004879889,-0.015462276,-0.011288754,-0.007969858,-0.008510238
10/5/2016,0.012406366,0.004559724,0.006545664,0.006497471,0.007240802,0.003749448,0.004522512,0.008387053,0.003365108,0.008074164
11/5/2016,-0.009607523,-0.010086237,-0.008583508,-0.013956972,-0.013961627,-0.017453896,-0.021944955,-0.025250643,-0.033608712,-0.036364399
12/5/2016,-0.00016948,0.004985051,-0.003351274,-0.007531723,-0.005363822,-0.010733761,-0.013926811,-0.014962996,-0.013977498,-0.012954138
13/5/2016,-0.008514434,-0.011747371,-0.018099295,-0.016236311,-0.013234917,-0.01367096,-0.017515101,-0.020410534,-0.01729128,-0.01647155
16/5/2016,0.009748977,0.000976704,0.003456543,0.005562727,0.007371819,-0.000816546,0.003690045,0.017716803,-0.000630851,0.012548104
