Date,^GSPC,^^GSPC,0,5,10,15,20,25,30,35,40
2014-01-03,-0.0003330203,-0.0003330203,0.0009266378,0.0022705432,-0.0005022658,0.0005149506,-0.0006905997,-0.0003099063,0.0018374056,0.0035811607,0.0004935856
2014-01-06,-0.0025149269,-0.0025149269,-0.002447187,-0.0010406608,-0.0005022658,-0.0048802439,-0.0006906013,-0.0003099041,-0.0009860172,-0.0069050547,-0.0043044053
2014-01-07,0.0060633452,0.0060633452,0.0025184921,0.0037458171,-0.0005022649,0.0053409468,0.0051760715,0.0031571598,0.0059243022,0.0047179284,0.0038346346
2014-01-08,-0.0002122317,-0.0002122317,-0.0025365716,-0.000604589,-0.0005022658,0.0008530309,0.0024568501,0.0018532239,0.0026027965,0.00181292,0.0005771439
2014-01-09,0.0003482487,0.0003482487,0.0060958266,0.0045279223,0.0038817597,0.0027920771,0.0016901717,-4.89648955408E-05,0.0043159071,0.0039777327,0.0029202346
2014-01-10,0.0023040304,0.0023040304,6.95169437677E-05,0.0021519184,0.001901157,0.004452873,0.0035736719,0.001139716,0.0082323458,0.0059230654,0.0044675674
2014-01-13,-0.0126559665,0.01,0.0049403775,-0.0001742058,-0.0005022658,0.0017994465,-0.0006906013,-0.0003099041,0.0057837875,0.0036791172,0.0078120562
2014-01-14,0.0107598763,0.0107598763,0.0078144614,0.0110627031,0.0099226367,0.009090893,0.0094724726,0.0118174283,0.010639742,0.0112003172,0.0106958533
2014-01-15,0.0051528891,0.0051528891,0.001630557,0.0028248292,-0.0005022658,0.0011459393,-0.0006903752,-0.0003099042,0.002279751,0.000256706,0.0006002891
2014-01-16,-0.0013480284,-0.0013480284,-0.0002643529,0.0026713684,0.0013205446,-0.0016016141,-8.21088324301E-05,0.0016932415,-0.0009860146,-0.0078547467,-0.0034286929
2014-01-17,-0.0039027806,-0.0039027806,-0.0009905642,-0.0005963449,-0.0005022658,-0.0020042192,-0.0006905997,-0.0003099063,-0.0009189218,-0.0029812753,-0.0009095399
2014-01-21,0.0027699124,0.0027699124,0.0001497965,0.0013251225,0.0015803752,0.0024657743,0.0013054619,-0.0003099042,0.0006430565,0.0009543002,0.0025534383
2014-01-22,0.0005746998,0.0005746998,-0.0009586653,0.0013062726,-0.0004542315,0.0021231296,-0.0002144004,-0.0003099042,0.0042597777,0.0029388405,-0.000153196
2014-01-23,-0.0089293245,-0.0089293245,0.0007901292,-0.0059274239,-0.0005022658,-0.0054273233,-0.0003510992,-0.0003099041,-0.0009860146,-0.0030652415,-0.005070297
2014-01-24,-0.0210964215,0.01,0.0099198483,0.0030905197,-0.0005022658,0.0112182656,-0.0006906013,-0.0003099042,-0.0009860172,0.0088842958,0.0078120534
2014-01-27,-0.0048882216,-0.0048882216,0.0011521645,0.0004740409,-0.0005022658,-0.0025079697,-0.0006906013,-0.0003099063,-0.0009860146,-0.0034372807,-0.0038915919
2014-01-28,0.0061218754,0.0061218754,0.0083876522,0.010436587,0.0107100056,0.0089351963,0.0085938275,0.0098647708,0.008710349,0.008476547,0.0089300722
