MMC
PEP
TMK
PG
AJG
USB
CB
JNJ
CINF
RSG
AFL
SO
L
CL
ADP
KO
ITW
PGR
DHR
FISV
MMM
VZ
T
XEL
DTE
WM
D
PX
WFC
PAYX
PNC
FRT
ES
TRV
PBCT
OMC
DUK
TROW
UPS
AEP
KMB
CHD
HON
ED
BBT
SCG
GIS
PNW
CMS
MO
AON
NEE
VNO
MCD
KIM
PCG
BLK
GPC
SPG
CLX
AVB
GD
AWK
WEC
BXP
MKC
PM
TMO
AEE
LNT
UTX
EIX
GS
ECL
SYK
COL
AIG
JPM
PLD
XRAY
AMT
LMT
SRE
SWK
GE
ESS
ETR
ALL
COST
CCI
AME
DPS
BDX
MTB
BK
APH
XL
EFX
EQR
PFE
XOM
UDR
HD
CMCSA
CA
PSA
PPL
NOC
NTRS
BAX
ACN
ROP
DVA
STI
RTN
SNA
BCR
PPG
PEG
K
NDAQ
AZO
CNP
JBHT
CPB
PFG
EMR
O
HSIC
LEG
UNM
AIV
GGP
MCO
SBUX
CVX
PKI
MTD
DIS
MDT
HIG
NI
DFS
MAA
MA
IBM
CME
AVY
A
IVZ
CTAS
SPGI
SLG
V
VAR
ALLE
ORCL
TEL
AMP
BEN
EXPD
IPG
FITB
PH
CSCO
DGX
PRU
ABT
SYY
APD
WY
EXR
ROK
IR
HBAN
CVS
LH
DLR
FDX
XYL
LOW
OXY
ETN
WMT
C
UNH
BA
MRK
HCN
STT
SJM
HRS
MS
VRSK
PCAR
SLB
MET
UNP
HRL
GWW
KEY
BAC
MAR
WU
EL
ICE
NWL
MDLZ
FIS
LUK
AXP
IP
RF
WYN
CSX
MSI
TJX
TXN
STZ
F
DOV
EXC
MAC
SHW
BLL
CBS
COF
FE
CAT
JCI
INTU
GLW
EQIX
EMN
NKE
CMA
ORLY
IFF
ZION
HST
ESRX
TGT
MHK
FAST
LNC
DD
AIZ
KR
VFC
PNR
ADM
GM
DOW
ADBE
INTC
FOX
ANTM
MON
CAH
CAG
CMI
FBHS
PSX
COO
JEC
RAI
COP
GOOGL
CERN
DNB
SCHW
WAT
HSY
TDG
CHRW
AET
MSFT
VTR
CCL
VRSN
AMGN
GOOG
MCHP
NLSN
FOXA
NWS
NUE
DRI
NSC
ZBH
PDCO
AMG
FLS
ABC
DLPH
SEE
MJN
HOLX
LLL
TSS
AES
FLIR
AAPL
DE
LEN
NWSA
SNI
MAS
TXT
LLY
SE
R
EOG
ROST
PHM
ADI
FMC
LB
HCP
GPN
CBG
VMC
BSX
HAS
TAP
CTXS
ZTS
LYB
CI
FLR
LRCX
ETFC
AN
BBBY
FL
XRX
TIF
BWA
ABBV
DISCK
XLNX
HAL
HES
SYMC
LKQ
RHT
WHR
AMAT
RHI
DLTR
WBA
IRM
CTL
FFIV
NBL
KLAC
HCA
EBAY
COH
TWX
CHTR
BMY
PCLN
YUM
CELG
TSCO
ALK
CTSH
ALB
DHI
GT
DISCA
FTI
UHS
KSU
MAT
ADSK
XEC
DAL
QCOM
APA
NTAP
LLTC
FB
VLO
ATVI
DVN
TGNA
GILD
PXD
EQT
YHOO
LUV
LVLT
DG
BHI
ADS
MLM
AGN
IDXX
MOS
PVH
NOV
HP
APC
HPQ
HBI
GRMN
AYI
ISRG
AAP
MCK
CXO
AVGO
JNPR
KMX
TSN
RCL
KMI
AMZN
TSO
HOG
PBI
HUM
MPC
EA
EXPE
CRM
COG
M
HRB
MRO
CMG
REGN
JWN
ULTA
MUR
SRCL
SIG
AAL
EW
WFM
OKE
COTY
SWKS
TDC
ARNC
WDC
CNC
RL
AKAM
CF
KSS
URI
VIAB
NFX
UAL
PRGO
MNST
FTR
GPS
MYL
ALXN
BIIB
NVDA
UAA
PWR
RRC
SPLS
HAR
URBN
NRG
NEM
KORS
STX
VRTX
MU
RIG
MNK
BBY
TRIP
ILMN
WYNN
FSLR
NFLX
SWN
FCX
WMB
ENDP
CHK
EVHC
