Date,Adj Close
2014-01-01,4.863
2014-01-02,4.863
2014-01-03,4.819
2014-01-06,4.863
2014-01-07,4.783
2014-01-08,4.828
2014-01-09,4.774
2014-01-10,4.801
2014-01-13,4.704
2014-01-14,4.766
2014-01-15,4.766
2014-01-16,4.739
2014-01-17,4.73
2014-01-20,4.739
2014-01-21,4.686
2014-01-22,4.739
2014-01-23,4.739
2014-01-24,4.695
2014-01-27,4.642
2014-01-28,4.704
2014-01-29,4.642
2014-01-30,4.65
2014-01-31,4.65
2014-02-03,4.606
2014-02-04,4.597
2014-02-05,4.677
2014-02-06,4.633
2014-02-07,4.65
2014-02-10,4.659
2014-02-11,4.73
2014-02-12,4.739
2014-02-13,4.819
2014-02-14,4.819
2014-02-17,4.757
2014-02-18,4.774
2014-02-19,4.704
2014-02-20,4.81
2014-02-21,4.819
2014-02-24,4.81
2014-02-25,4.819
2014-02-26,4.819
2014-02-27,4.872
2014-02-28,4.792
2014-03-03,4.721
2014-03-04,4.686
2014-03-05,4.65
2014-03-06,4.677
2014-03-07,4.695
2014-03-10,4.721
2014-03-11,4.695
2014-03-12,4.739
2014-03-13,4.668
2014-03-14,4.659
2014-03-17,4.633
2014-03-18,4.668
2014-03-19,4.642
2014-03-20,4.553
2014-03-21,4.642
2014-03-24,4.748
2014-03-25,4.704
2014-03-26,4.81
2014-03-27,4.748
2014-03-28,4.819
2014-03-31,4.863
2014-04-01,4.792
2014-04-02,4.748
2014-04-03,4.819
2014-04-04,4.757
2014-04-07,4.739
2014-04-08,4.783
2014-04-09,4.748
2014-04-10,4.748
2014-04-11,4.73
2014-04-14,4.774
2014-04-15,4.872
2014-04-16,4.854
2014-04-17,4.783
2014-04-18,4.783
2014-04-21,4.819
2014-04-22,4.872
2014-04-23,4.801
2014-04-24,4.89
2014-04-25,4.916
2014-04-28,4.898
2014-04-29,4.916
2014-04-30,4.889
2014-05-01,4.889
2014-05-02,4.88
2014-05-05,4.871
2014-05-06,4.898
2014-05-07,4.916
2014-05-08,4.916
2014-05-09,4.916
2014-05-12,4.907
2014-05-13,4.907
2014-05-14,4.971
2014-05-15,4.962
2014-05-16,4.907
2014-05-19,4.925
2014-05-20,4.962
2014-05-21,4.925
2014-05-22,4.916
2014-05-23,4.916
2014-05-26,4.916
2014-05-27,4.871
2014-05-28,4.907
2014-05-29,4.953
2014-05-30,4.925
2014-06-02,4.962
2014-06-03,4.898
2014-06-04,4.889
2014-06-05,4.862
2014-06-06,4.871
2014-06-09,4.88
2014-06-10,4.862
2014-06-11,4.88
2014-06-12,4.852
2014-06-13,4.852
2014-06-16,4.862
2014-06-17,4.871
2014-06-18,4.898
2014-06-19,4.871
2014-06-20,4.934
2014-06-23,4.898
2014-06-24,4.898
2014-06-25,4.898
2014-06-26,4.898
2014-06-27,4.916
2014-06-30,4.889
2014-07-01,4.862
2014-07-02,4.916
2014-07-03,4.889
2014-07-04,4.907
2014-07-07,4.916
2014-07-08,4.898
2014-07-09,4.907
2014-07-10,4.934
2014-07-11,4.934
2014-07-14,4.943
2014-07-15,4.943
2014-07-16,4.962
2014-07-17,4.989
2014-07-18,5.007
2014-07-21,5.007
2014-07-22,4.998
2014-07-23,5.035
2014-07-24,5.025
2014-07-25,5.007
2014-07-28,5.007
2014-07-29,4.998
2014-07-30,4.989
2014-07-31,4.989
2014-08-01,4.98
2014-08-04,4.943
2014-08-05,4.934
2014-08-06,4.925
2014-08-07,4.862
2014-08-08,4.807
2014-08-11,4.834
2014-08-12,4.798
2014-08-13,4.825
2014-08-14,4.852
2014-08-15,4.871
2014-08-18,4.806
2014-08-19,4.751
2014-08-20,4.733
2014-08-21,4.715
2014-08-22,4.659
2014-08-25,4.696
2014-08-26,4.687
2014-08-27,4.742
2014-08-28,4.715
2014-08-29,4.705
2014-09-01,4.715
2014-09-02,4.715
2014-09-03,4.751
2014-09-04,4.705
2014-09-05,4.724
2014-09-08,4.733
2014-09-09,4.751
2014-09-10,4.806
2014-09-11,4.77
2014-09-12,4.761
2014-09-15,4.779
2014-09-16,4.742
2014-09-17,4.806
2014-09-18,4.761
2014-09-19,4.761
2014-09-22,4.797
2014-09-23,4.751
2014-09-24,4.797
2014-09-25,4.797
2014-09-26,4.77
2014-09-29,4.779
2014-09-30,4.761
2014-10-01,4.733
2014-10-02,4.65
2014-10-03,4.724
2014-10-06,4.724
2014-10-07,4.678
2014-10-08,4.641
2014-10-09,4.659
2014-10-10,4.595
2014-10-13,4.549
2014-10-14,4.549
2014-10-15,4.568
2014-10-16,4.43
2014-10-17,4.393
2014-10-20,4.411
2014-10-21,4.439
2014-10-22,4.439
2014-10-23,4.476
2014-10-24,4.466
2014-10-27,4.457
2014-10-28,4.466
2014-10-29,4.439
2014-10-30,4.411
2014-10-31,4.476
2014-11-03,4.512
2014-11-04,4.457
2014-11-05,4.43
2014-11-06,4.31
2014-11-07,4.172
2014-11-10,4.273
2014-11-11,4.292
2014-11-12,4.255
2014-11-13,4.264
2014-11-14,4.228
2014-11-17,4.182
2014-11-18,4.255
2014-11-19,4.264
2014-11-20,4.246
2014-11-21,4.218
2014-11-24,4.246
2014-11-25,4.356
2014-11-26,4.283
2014-11-27,4.246
2014-11-28,4.2
2014-12-01,3.989
2014-12-02,3.989
2014-12-03,3.86
2014-12-04,3.869
2014-12-05,3.869
2014-12-08,3.805
2014-12-09,3.86
2014-12-10,3.989
2014-12-11,3.943
2014-12-12,3.897
2014-12-15,3.786
2014-12-16,3.768
2014-12-17,3.823
2014-12-18,3.86
2014-12-19,3.979
2014-12-22,4.108
2014-12-23,4.062
2014-12-24,4.08
2014-12-25,4.08
2014-12-26,4.108
2014-12-29,4.062
2014-12-30,4.071
2014-12-31,4.09
2015-01-01,4.09
2015-01-02,4.099
2015-01-05,3.97
2015-01-06,3.869
2015-01-07,3.887
2015-01-08,3.915
2015-01-09,3.851
2015-01-12,3.832
2015-01-13,3.814
2015-01-14,3.768
2015-01-15,3.869
2015-01-16,3.786
2015-01-19,3.814
2015-01-20,3.851
2015-01-21,3.842
2015-01-22,3.952
2015-01-23,3.989
2015-01-26,3.906
2015-01-27,3.924
2015-01-28,3.952
2015-01-29,3.933
2015-01-30,3.961
2015-02-02,3.998
2015-02-03,3.989
2015-02-04,4.016
2015-02-05,3.915
2015-02-06,3.915
2015-02-09,3.869
2015-02-10,3.906
2015-02-11,3.906
2015-02-12,3.832
2015-02-13,3.851
2015-02-16,3.878
2015-02-17,3.86
2015-02-18,3.897
2015-02-19,3.897
2015-02-20,3.897
2015-02-23,3.878
2015-02-24,3.915
2015-02-25,3.869
2015-02-26,3.897
2015-02-27,3.887
2015-03-02,3.86
2015-03-03,3.943
2015-03-04,3.924
2015-03-05,3.924
2015-03-06,3.943
2015-03-09,3.897
2015-03-10,3.887
2015-03-11,3.851
2015-03-12,3.842
2015-03-13,3.878
2015-03-16,3.887
2015-03-17,3.878
2015-03-18,3.869
2015-03-19,3.915
2015-03-20,3.943
2015-03-23,3.933
2015-03-24,3.933
2015-03-25,3.933
2015-03-26,3.989
2015-03-27,3.943
2015-03-30,3.952
2015-03-31,3.878
2015-04-01,3.924
2015-04-02,3.952
2015-04-03,3.952
2015-04-06,3.952
2015-04-07,4.007
2015-04-08,4.062
2015-04-09,4.136
2015-04-10,4.172
2015-04-13,4.2
2015-04-14,4.264
2015-04-15,4.338
2015-04-16,4.393
2015-04-17,4.329
2015-04-20,4.365
