Date,^STI,0,1,5,10
2014-01-03,-0.0136948256,-0.0117188338,-0.0127960648,-0.0041075563,-0.0098099466
2014-01-06,-0.0024459,-0.0007552123,-0.0013679634,0.0019099442,-0.0003175931
2014-01-07,-0.0009416578,-0.0056798952,-0.0065667559,-0.0006680936,-0.0002893833
2014-01-08,0.0094937738,-0.0019838223,-0.0027541677,0.003381853,0.0035579726
2014-01-09,-0.0016645303,0.0004836419,0.0006097425,-0.0009676348,-0.001783045
2014-01-10,-0.000489657,0.0004700096,0.0005879798,0.0003579715,-0.0007100198
2014-01-13,-0.0026691038,-0.0044376524,-0.0052853529,0.0008893656,-0.000531815
2014-01-14,-0.0037512554,-0.0056901751,-0.0065773609,-0.003405503,-0.0009691669
2014-01-15,0.0062230933,-0.0019838223,-0.0027541677,-0.0001906417,0.0047189454
2014-01-16,-0.0008943978,-0.0019838223,-0.0027541677,-0.0020085806,-0.0019073784
2014-01-17,0.0021916004,-0.0007449305,-0.0013515502,0.0048817052,0.0001293728
2014-01-20,-0.0059081383,-0.0032227123,-0.0040321136,-0.0004540375,-0.0056016147
2014-01-21,0.0015872039,-0.0007449305,-0.0013515502,0.0007874733,0.0013797637
2014-01-22,-6.3885121655E-06,0.0004836419,0.0006097425,0.0056071882,0.0039172135
2014-01-23,-0.0107476516,-0.0069325324,-0.007858878,-0.0046353294,-0.0087236036
2014-01-24,-0.0078527272,-0.0032296628,-0.0040392829,-0.0047039567,-0.007916851
2014-01-27,-0.0109702815,-0.0019838223,-0.0027541677,-0.002332068,-0.0111668836
2014-01-28,0.0065456431,0.0029787128,0.001392147,0.0021327175,0.004346312
2014-01-29,-0.0047395096,-0.0032192683,-0.0040285597,0.0010337401,-0.0013823612
2014-01-30,-0.0068179523,-0.0044650696,-0.0053136353,-0.0016874904,-0.0060508307
2014-02-03,-0.0120536507,-0.0044790087,-0.0053280122,-0.0043514306,-0.0105552208
2014-02-04,-0.0084442192,-0.0044931062,-0.0053425529,-0.0032140277,-0.0063304752
2014-02-05,-0.0019271241,-0.0019838223,-0.0057685594,-0.0033490676,-0.0021110307
2014-02-06,0.0094749283,-0.0007274076,0.003125496,0.0099918144,0.0074241916
2014-02-07,0.0082880575,0.0005183923,0.0006586162,0.0055442415,0.0092703532
2014-02-10,0.0013465439,0.0005043759,-0.0039337138,-0.0008024629,0.0005432777
2014-02-11,0.0039363453,0.0004905127,0.0006207149,0.0054494399,0.0041642142
2014-02-12,0.0020940895,-0.0044581583,-0.0053065033,0.0020693215,-0.0001115883
2014-02-13,0.0014649203,-0.0019838223,0.003125496,0.0060297954,0.0028364891
2014-02-14,-0.0003915175,-0.0032261778,-0.0073910109,-0.0011999393,-0.0034932811
2014-02-17,0.0100099454,-0.0007414659,-0.0013460177,0.0065091639,0.0087698316
2014-02-18,0.0004885946,-0.0019838223,0.003125496,0.0027778102,-0.0007762639
2014-02-19,0.0058478307,0.0004905127,0.0006207149,0.0046137604,0.0025213752
2014-02-20,-0.0006963551,-0.0019838223,-0.0057685594,0.0007570963,-0.0016484484
2014-02-21,0.0042964227,0.0004768078,0.0005988311,-0.0001628604,0.0013754824
2014-02-24,0.0019047299,0.0028969101,0.001360457,0.0044109756,0.003425451
2014-02-25,-0.0007150287,0.0016418495,0.0008742441,0.0008047316,-0.0022588335
2014-02-26,-0.0049646224,-0.0007818118,-0.0014104284,-0.0019055475,-0.0051084645
2014-02-27,0.0027453546,-0.0031858319,-0.00399407,0.0071652727,0.0068511199
2014-02-28,0.0045235659,0.0004169522,0.003125496,0.0080369292,0.0064203795
2014-03-03,-0.007521532,-0.0067984182,-0.0077205379,-0.0005525239,-0.0075123981
2014-03-04,0.0055683248,0.0004300009,0.003125496,0.0113687404,0.0062219668
2014-03-05,0.0038351634,0.0004169522,0.0005032807,0.0029675188,0.0061139865
2014-03-06,0.0040123046,-0.0031825872,-0.0039907224,0.001823076,0.0005995603
2014-03-07,0.0022632417,0.0016028113,0.0008591206,0.0021016272,0.0023342911
2014-03-10,-0.0030753006,-0.0043716878,-0.0052173105,-0.0037178611,-0.001341816
2014-03-11,0.0008855518,-0.0019838223,-0.0027541677,0.005559403,-0.0002815537
2014-03-12,-0.0102685481,-0.004384595,-0.0052306247,-0.0027820272,-0.0051207077
2014-03-13,-0.0051919543,0.0004169522,0.0005032807,-0.0021973876,-0.0038621239
2014-03-14,-0.0024922142,-0.0067984182,-0.0077205379,-0.0004289355,0.0021139234
2014-03-17,0.0059748282,-0.0031956704,-0.0040042177,0.0033385223,-0.0001612175
2014-03-18,0.000549693,-0.0007719742,-0.0013947207,-4.17353585362E-05,0.0027087526
2014-03-19,-0.0042399924,-0.0019838223,0.003125496,0.0060807643,0.0004606145
2014-03-20,-0.0076736255,-0.0044108359,-0.0086004082,-0.0035613878,-0.011455657
2014-03-21,0.0052817037,0.0028570136,0.0013450003,0.0023542214,0.0032950733
2014-03-24,0.0124298505,0.0004169522,0.0005032807,0.0054200152,0.0086620068
2014-03-25,-0.0024646589,0.0004040441,0.0004826754,-0.0010795444,-0.003303146
2014-03-26,0.0125332441,-0.0007946854,-0.0014309785,0.0083883777,0.0116293719
2014-03-27,0.0060706056,-0.0007978603,-0.0014360482,0.0048122127,0.0041176043
