Component,Variance Ratio
122,7.6349140929e-06
123,7.44865448103e-06
124,7.18817290163e-06
125,7.16101519008e-06
126,7.01792178933e-06
127,6.82965136243e-06
128,6.71015463871e-06
129,6.66709804394e-06
130,6.32793281661e-06
131,6.32074197537e-06
132,6.23393405144e-06
133,6.12284795498e-06
134,6.00064058901e-06
135,5.84886299914e-06
136,5.82561576525e-06
137,5.6181614748e-06
138,5.43964952615e-06
139,5.3802822842e-06
140,5.36447606099e-06
141,5.23525678723e-06
142,5.18560504955e-06
143,5.11262425732e-06
144,4.91524909932e-06
145,4.85926318882e-06
146,4.82357980735e-06
147,4.65162110517e-06
148,4.5392038285e-06
149,4.50569298989e-06
150,4.33569539776e-06
151,4.27392992512e-06
152,4.21352822981e-06
153,4.12432553285e-06
154,4.05990543206e-06
155,3.98261641841e-06
156,3.93064910037e-06
157,3.89611455411e-06
158,3.83002206747e-06
159,3.70675463479e-06
160,3.66967715853e-06
161,3.57515803057e-06
162,3.55224346189e-06
163,3.45864330028e-06
164,3.39181634927e-06
165,3.35464101743e-06
166,3.33058109054e-06
167,3.26532667086e-06
168,3.18281353226e-06
169,3.15703729354e-06
170,3.05524688268e-06
171,2.97889898837e-06
172,2.94401831815e-06
173,2.91903206322e-06
174,2.90044163913e-06
175,2.84207640595e-06
176,2.76947887672e-06
177,2.74041482359e-06
178,2.68346548575e-06
179,2.62632040191e-06
180,2.58212148218e-06
181,2.54732554395e-06
182,2.50217835875e-06
183,2.44821034614e-06
184,2.42139053186e-06
185,2.40576122685e-06
186,2.34215808423e-06
187,2.30892442024e-06
188,2.2835555728e-06
189,2.26185957072e-06
190,2.19637276081e-06
191,2.1678707582e-06
192,2.14322113067e-06
193,2.12923211223e-06
194,2.06542165394e-06
195,2.04038686594e-06
196,2.00510631483e-06
197,1.9839946387e-06
198,1.94550402647e-06
199,1.90478101243e-06
200,1.89292987706e-06
201,1.87827092705e-06
202,1.83663787804e-06
203,1.81428196195e-06
204,1.75862591915e-06
205,1.7387386203e-06
206,1.7342576314e-06
207,1.70855515991e-06
208,1.69256457338e-06
209,1.65360940904e-06
210,1.63428781458e-06
211,1.61416532865e-06
212,1.59557639796e-06
213,1.5640632182e-06
214,1.54995805599e-06
215,1.53074819314e-06
216,1.49096364718e-06
217,1.46395616969e-06
218,1.43928973332e-06
219,1.38492811901e-06
220,1.37859429255e-06
221,1.35332199219e-06
222,1.33832108511e-06
223,1.3158227463e-06
224,1.30072757277e-06
225,1.29147981825e-06
226,1.28320488825e-06
227,1.27233995333e-06
228,1.25042979626e-06
229,1.22593633051e-06
230,1.19804976908e-06
231,1.17711510005e-06
232,1.16350055163e-06
233,1.13679448269e-06
234,1.12728575582e-06
235,1.11589285671e-06
236,1.08390809491e-06
237,1.07153692652e-06
238,1.05321219062e-06
239,1.04360906044e-06
240,1.03173234666e-06
241,1.02528643375e-06
242,1.01107313037e-06
243,9.97101955881e-07
244,9.80442214158e-07
245,9.68869039957e-07
246,9.58301649448e-07
247,9.18149645165e-07
248,8.94086647592e-07
249,8.88688735938e-07
250,8.80836861268e-07
251,8.72326260878e-07
252,8.58354709292e-07
253,8.52834238825e-07
254,8.34320191604e-07
255,8.12269731198e-07
256,7.98304312688e-07
257,7.86126991793e-07
258,7.76224304298e-07
259,7.70271034326e-07
260,7.5250266131e-07
261,7.47311613892e-07
262,7.39205553146e-07
263,7.18598033275e-07
264,7.06058910931e-07
265,6.94899086062e-07
266,6.84958253138e-07
267,6.79976457875e-07
268,6.70269743164e-07
269,6.65743262513e-07
270,6.43449826647e-07
271,6.36210443672e-07
272,6.22602591783e-07
273,6.12475197384e-07
274,6.06180491831e-07
275,5.96439512347e-07
276,5.9513103885e-07
277,5.86039509548e-07
278,5.69773867416e-07
279,5.62433913917e-07
280,5.54188200661e-07
281,5.50056474692e-07
282,5.37453312932e-07
283,5.35263474477e-07
284,5.22166210117e-07
285,5.13327551732e-07
286,5.1060001285e-07
287,4.99893063411e-07
288,4.88187488226e-07
289,4.71604304165e-07
290,4.67188540693e-07
291,4.57732516518e-07
292,4.53712723242e-07
293,4.47277342062e-07
294,4.43212011786e-07
295,4.34657410924e-07
296,4.23882980505e-07
297,4.20614904829e-07
298,4.14492890459e-07
299,4.07260519688e-07
300,3.99359419206e-07
301,3.88562517235e-07
302,3.80871635465e-07
303,3.78869962287e-07
304,3.77920320091e-07
305,3.6816827021e-07
306,3.62983605034e-07
307,3.61058352673e-07
308,3.56706770476e-07
309,3.46275468155e-07
310,3.38455797223e-07
311,3.31504677057e-07
312,3.25223449437e-07
313,3.21925165825e-07
314,3.17301808393e-07
315,3.1383468127e-07
316,3.06460800695e-07
317,3.00927492919e-07
318,2.97230785639e-07
319,2.90539952198e-07
320,2.85048673283e-07
321,2.79406181593e-07
322,2.72016892128e-07
323,2.70645469021e-07
324,2.66195341101e-07
325,2.61043363174e-07
326,2.55651023693e-07
327,2.5042269517e-07
328,2.46230354917e-07
329,2.43827817055e-07
330,2.41377886878e-07
331,2.35884741958e-07
332,2.30552071952e-07
333,2.2659809031e-07
334,2.22538449058e-07
335,2.21895666237e-07
336,2.18533191284e-07
337,2.10979800138e-07
338,2.07952066758e-07
339,2.02054144399e-07
340,2.00644869391e-07
341,1.9623617669e-07
342,1.92659774599e-07
343,1.87483513189e-07
344,1.85923117111e-07
345,1.81113679811e-07
346,1.78506284927e-07
347,1.7654418619e-07
348,1.72772512824e-07
349,1.68310991456e-07
350,1.62967343697e-07
351,1.61947025109e-07
352,1.57604368873e-07
353,1.55898965358e-07
354,1.52065454092e-07
355,1.50648406613e-07
356,1.47833734919e-07
357,1.41997691928e-07
358,1.40169714597e-07
359,1.37136553077e-07
360,1.35520046951e-07
361,1.34710554281e-07
362,1.32241921205e-07
363,1.268792199e-07
364,1.24406300882e-07
365,1.22380093589e-07
366,1.21664411194e-07
367,1.18653832662e-07
368,1.14984057053e-07
369,1.14038747438e-07
370,1.10851361558e-07
371,1.09306921539e-07
372,1.04560175303e-07
373,1.04192325042e-07
374,1.01580440779e-07
375,9.84518622444e-08
376,9.67209755065e-08
377,9.42517040531e-08
378,9.33145209379e-08
379,9.15476869897e-08
380,9.0448850839e-08
381,8.7232612519e-08
382,8.40899023719e-08
383,8.25162601775e-08
384,8.20985554667e-08
385,8.07177718798e-08
386,7.96308350205e-08
387,7.64292347839e-08
388,7.48829344707e-08
389,7.28322773346e-08
390,7.12763912741e-08
391,6.93651028284e-08
392,6.68690021305e-08
393,6.60423398036e-08
394,6.51968483552e-08
395,6.19972089809e-08
396,6.13536343927e-08
397,6.09833055192e-08
398,5.85657806454e-08
399,5.69274803065e-08
400,5.52058388115e-08
401,5.43627644015e-08
402,5.26225388065e-08
403,4.94294048815e-08
404,4.89431568195e-08
405,4.82180932785e-08
406,4.75047115128e-08
407,4.56278879253e-08
408,4.41752239563e-08
409,4.24846286793e-08
410,4.24481034241e-08
411,4.02785902638e-08
412,3.94798759586e-08
413,3.80172443757e-08
414,3.75577122717e-08
415,3.67769857728e-08
416,3.53951921647e-08
417,3.40873377425e-08
418,3.37186414663e-08
419,3.26220024679e-08
420,3.20573822915e-08
421,3.01642492538e-08
422,2.87755701934e-08
423,2.82247823062e-08
424,2.71970215542e-08
425,2.68671285698e-08
426,2.64605719063e-08
427,2.46719970215e-08
428,2.37148872241e-08
429,2.27134886449e-08
430,2.19985116037e-08
431,2.12448853512e-08
432,2.07281488527e-08
433,2.01700731216e-08
434,1.88808199756e-08
435,1.80909491576e-08
436,1.76867061628e-08
437,1.67609282729e-08
438,1.66716576717e-08
439,1.57277881393e-08
440,1.48758096682e-08
441,1.45820779861e-08
442,1.38376137791e-08
443,1.35725777869e-08
444,1.33545396478e-08
445,1.29477403006e-08
446,1.27605204607e-08
447,1.1710143683e-08
448,1.10454986876e-08
449,1.03564757551e-08
450,9.73312748893e-09
451,9.2902181076e-09
452,8.9968198916e-09
453,8.62932828846e-09
454,8.37153100662e-09
455,7.89134907399e-09
456,7.5955454653e-09
457,6.92626385295e-09
458,6.38272142266e-09
459,6.12822831028e-09
460,5.82637444515e-09
461,5.3612498741e-09
462,5.23490380556e-09
463,4.67379402033e-09
464,4.59564304067e-09
465,4.31766706584e-09
466,4.26483815998e-09
467,3.85153163549e-09
468,3.48873093932e-09
469,3.15301386188e-09
470,2.94826127699e-09
471,2.89263281563e-09
472,2.7715537645e-09
473,2.44979644093e-09
474,2.04522450913e-09
475,1.78171052631e-09
476,1.67738793441e-09
477,1.42450069492e-09
478,1.28138993216e-09
479,1.12812814105e-09
480,1.07906634327e-09
481,9.28437187828e-10
482,8.42075803866e-10
483,7.87990481176e-10
484,5.65367216727e-10
485,5.03123562349e-10
486,4.2781117595e-10
487,3.66462395351e-10
488,2.83717565338e-10
489,1.62054803029e-10
490,1.37884103304e-10
491,5.30627221617e-11
