Component,Variance Ratio
1,0.653741655866
2,0.18098638871
3,0.04160860553
4,0.0347792250832
5,0.0209458111273
6,0.0135721665494
7,0.0124962756438
8,0.00785559725921
9,0.00513804463105
10,0.00424695315634
11,0.00313669550797
12,0.0024080703749
13,0.00197198402538
14,0.00163727970214
15,0.00129173082935
16,0.00126429080107
17,0.00114391016299
18,0.000978540327332
19,0.000786182397322
20,0.000688928344299
21,0.0006343015026
22,0.000569569420411
23,0.000557379193105
24,0.000474104130297
25,0.000441130590003
26,0.000357091806315
27,0.000325676805142
28,0.000323987725443
29,0.000292353795159
30,0.000272163683673
31,0.000241558676051
32,0.000227134750904
33,0.000220708561525
34,0.000193469060607
35,0.000189085042133
36,0.000179694675466
37,0.000162355110264
38,0.000148128081131
39,0.000137557073608
40,0.000127401695364
41,0.000116922448122
42,0.000113099768303
43,0.000109530036444
44,0.000104495057282
45,9.74726554986e-05
46,9.60991780543e-05
47,8.60729947604e-05
48,8.4919721046e-05
49,8.27590478768e-05
50,7.54871785075e-05
51,7.02607938828e-05
52,6.99707538766e-05
53,6.84358778178e-05
54,6.68608627635e-05
55,6.37927311881e-05
56,5.93960231414e-05
57,5.78792246784e-05
58,5.26636762947e-05
59,5.21976674473e-05
60,4.80744329596e-05
61,4.71984641017e-05
62,4.51873786479e-05
63,4.23181426977e-05
64,4.01879543049e-05
65,3.97115902333e-05
66,3.85802680062e-05
67,3.84535798109e-05
68,3.72981685437e-05
69,3.54588616127e-05
70,3.50290951861e-05
71,3.34206395965e-05
72,3.19189826619e-05
73,3.02731077131e-05
74,2.9459707229e-05
75,2.85722863772e-05
76,2.7338633928e-05
77,2.63781869609e-05
78,2.61671598743e-05
79,2.41220431095e-05
80,2.3666897958e-05
81,2.31874260154e-05
82,2.13688717969e-05
83,2.12090985305e-05
84,2.05957778709e-05
85,1.99785702083e-05
86,1.97269645858e-05
87,1.87746353617e-05
88,1.81227604162e-05
89,1.78451512474e-05
90,1.75217738503e-05
91,1.67757216728e-05
92,1.63002735272e-05
93,1.60009879353e-05
94,1.57207195881e-05
95,1.52482270727e-05
96,1.46584605228e-05
97,1.43484040274e-05
98,1.34627727273e-05
99,1.31777310111e-05
100,1.30318614395e-05
101,1.27910021464e-05
102,1.22980374409e-05
103,1.21847251471e-05
104,1.2121516145e-05
105,1.17308736752e-05
106,1.13527471709e-05
107,1.09977289794e-05
108,1.08378068719e-05
109,1.05896986014e-05
110,1.02684626533e-05
111,9.89645140459e-06
112,9.71193046044e-06
113,9.47475663463e-06
114,9.36797486452e-06
115,9.0413592817e-06
116,8.75729942461e-06
117,8.66147213313e-06
118,8.33618208331e-06
119,8.07198872014e-06
120,7.94400517553e-06
121,7.70863791218e-06
