PG
CB
MMC
CHD
PEP
RSG
SO
PSA
WM
CL
CLX
KO
JNJ
GIS
COST
TMK
TRV
T
VZ
AJG
CINF
MKC
L
VNO
ADP
CPB
SPG
PGR
AWK
XL
SYY
DVA
KMB
HSIC
FRT
WFC
PX
PBCT
PAYX
MMM
ITW
ED
ABC
CMS
MCD
MO
XEL
FISV
NEE
SRE
LMT
DTE
TROW
DUK
PNW
DHR
LNT
D
AVB
ESS
OMC
PM
BXP
AFL
SYK
UPS
UDR
K
HON
CVS
ES
UTX
GPC
EQR
USB
EIX
KIM
GD
BDX
SCG
CCI
DPS
SLG
HD
COL
XRAY
ACN
ROP
BAX
AEE
SNA
WMT
WY
WEC
CTAS
AEP
HSY
AIZ
ALL
MAA
AZO
AMT
PFE
SJM
HIG
PLD
JCI
SWK
GE
AON
PDCO
EXR
O
HRL
ECL
PNC
BBT
PCG
GGP
IFF
JPM
PPL
AIG
HCN
EFX
ABT
AIV
MDT
ETR
XOM
HCP
JBHT
TDG
LEG
KR
DLR
TMO
PKI
BCR
MDLZ
AME
NTRS
GS
DE
RTN
MTB
PEG
VAR
STZ
LOW
NOC
FDX
CAH
EMR
AVY
CA
LH
CSCO
CME
CMCSA
APH
GWW
UNM
DFS
HRS
ESRX
IBM
DIS
AXP
MON
SBUX
BLK
NI
MSI
BK
CNP
MRK
SHW
ORLY
PPG
EL
BEN
NDAQ
BA
RAI
STI
NLSN
TSS
MCK
FE
ORCL
LUK
IR
MCO
AMP
HBAN
TEL
VRSK
BLL
EXPD
APD
NKE
ALLE
NWL
IVZ
IPG
FITB
MTD
ZBH
WYN
V
MAR
TGT
FIS
UNP
WAT
MET
SPGI
MJN
DGX
TJX
VTR
F
CAG
EQIX
MAC
BAC
FAST
IP
HST
VFC
LB
A
VRSN
LLTC
RHI
COF
ROK
PFG
STT
ADM
ICE
C
MA
WU
CVX
CTL
EXC
UNH
DOV
PH
SRCL
DD
XYL
CAT
PCAR
KEY
CBG
INTU
RF
MS
SNI
CERN
FOX
LLY
ETN
DLPH
INTC
DLTR
ANTM
ZION
HOLX
OXY
MHK
SLB
SE
PRU
CHRW
GPN
CCL
NWS
TXN
LLL
GLW
DNB
MSFT
BMY
NSC
AN
HAS
ROST
CBS
JEC
CSX
FOXA
CMI
ADBE
DG
SEE
TXT
FLIR
ADS
DRI
BBBY
EMN
GM
LNC
NUE
COO
COP
AAPL
GOOGL
EBAY
FL
RHT
MCHP
NWSA
CMA
MAS
GOOG
R
TAP
HRB
FBHS
FMC
AES
TSCO
MOS
AMGN
CI
FLR
VMC
DOW
AMG
PNR
JWN
AET
PSX
CTSH
XRX
GPS
ADI
NTAP
ZTS
SCHW
SYMC
TIF
HOG
TWX
XLNX
AMAT
BWA
CHTR
PBI
BSX
KLAC
FLS
LEN
LKQ
M
HBI
LRCX
IRM
PCLN
LUV
MAT
ATVI
PHM
EW
QCOM
ADSK
UHS
IDXX
FFIV
VIAB
NOV
HES
AAP
JNPR
ABBV
KSS
WHR
WBA
GRMN
TSN
TGNA
CTXS
COH
KMX
DISCK
YUM
SIG
NVDA
AGN
AYI
HCA
ALB
LVLT
HUM
RL
GT
WDC
ALK
RCL
ULTA
PVH
EOG
KMI
DISCA
HPQ
CMG
EQT
DAL
LYB
GILD
KSU
MLM
DHI
ETFC
FB
PRGO
HAL
CF
AKAM
MPC
CELG
VLO
ISRG
COTY
FTI
EA
YHOO
BHI
MUR
CNC
TSO
CRM
AMZN
APA
APC
WFM
REGN
STX
EXPE
DVN
XEC
COG
TDC
ARNC
NBL
AVGO
URBN
FTR
ALXN
UAA
HP
MNST
SPLS
MYL
AAL
SWKS
OKE
PXD
URI
ILMN
UAL
ENDP
MRO
CXO
HAR
PWR
EVHC
KORS
NRG
BIIB
RRC
WMB
NEM
BBY
NFX
TRIP
MU
MNK
VRTX
FSLR
SWN
WYNN
NFLX
RIG
FCX
CHK

