XEL
DTE
MMC
SO
CMS
PEP
DUK
ES
LNT
AEP
SCG
TMK
PNC
ITW
D
WEC
ED
PG
BBT
USB
JNJ
CB
AJG
RSG
WFC
NEE
FRT
AEE
PNW
JPM
PBCT
L
CL
ADP
T
CINF
AFL
PCG
KIM
KO
DHR
VZ
PGR
SPG
EIX
ETR
GS
MMM
STI
BXP
WM
PX
VNO
PAYX
AWK
TROW
CLX
AVB
MTB
GIS
OMC
FISV
UPS
SRE
MO
CHD
NTRS
FITB
BLK
BK
AON
GD
GPC
PPL
AIG
HON
MKC
PLD
KMB
PM
UNM
TMO
UTX
ESS
SYK
PEG
UDR
EQR
O
LMT
PSA
C
RF
ECL
HD
AMT
SWK
PFE
HBAN
MCD
PFG
EMR
PRU
AME
GGP
GE
TRV
DPS
XRAY
EFX
XOM
RTN
COL
CCI
CNP
BAC
BDX
XL
NOC
COST
CMCSA
AIV
MET
NI
MS
BCR
KEY
APH
SNA
BAX
AMP
IVZ
CA
SLG
ALL
ACN
PPG
IR
CVX
TEL
DVA
CPB
K
HIG
NDAQ
BEN
PH
DFS
ETN
SBUX
LNC
HSIC
ZION
EXR
DIS
MCO
JBHT
PKI
MAA
HCN
ROP
CMA
MA
LEG
AZO
OXY
SPGI
ROK
VAR
CME
SLB
V
CTAS
IBM
MTD
AVY
A
DLR
CSCO
LOW
ALLE
GWW
STT
ABT
MDT
UNH
WY
TXN
ORCL
PCAR
IPG
CVS
LH
CAT
EXPD
DGX
SYY
FDX
WMT
TJX
DOV
VRSK
APD
BA
SJM
EL
MAR
MRK
XYL
EXC
HRS
COF
HRL
CBS
MDLZ
LUK
TGT
SCHW
ICE
MSI
FOX
MAC
AXP
COP
IFF
FE
CSX
UNP
WYN
NWL
F
GLW
STZ
CAH
FAST
HST
VFC
EMN
ORLY
INTU
IP
FOXA
BLL
MCHP
SHW
NKE
ESRX
WU
FIS
VTR
FLS
JEC
JCI
ADBE
INTC
FBHS
CMI
AIZ
EOG
MHK
DOW
AET
KR
EQIX
DD
PSX
WAT
ADM
ANTM
GM
ROST
DNB
NUE
MSFT
CAG
ABC
CERN
PNR
AMGN
RAI
CHRW
CCL
AMG
SNI
COO
AES
GOOG
HOLX
DLPH
VRSN
NLSN
NWS
ADI
HSY
CBG
MON
GOOGL
SEE
LB
LLL
MJN
NSC
AAPL
LEN
TXT
R
HAL
TDG
ZBH
SE
HCP
HES
TSS
DRI
VMC
FLR
MAS
DE
FLIR
NWSA
PDCO
ETFC
LYB
LLY
FMC
DISCK
PHM
LRCX
XEC
GPN
BSX
RHI
FL
CI
NBL
HAS
ABBV
BBBY
TAP
ZTS
DAL
AN
PXD
TIF
BWA
FB
DISCA
XLNX
AMAT
DLTR
APA
DVN
RHT
CTXS
EBAY
ALK
HCA
CXO
LUV
LKQ
CTL
KLAC
WHR
XRX
TWX
PCLN
SYMC
COH
KSU
CELG
WBA
FTI
HP
LLTC
BMY
FFIV
ALB
EQT
UHS
TSCO
QCOM
CTSH
DHI
YUM
CHTR
ADS
ATVI
IRM
M
APC
GT
ADSK
AGN
VLO
PVH
MAT
GILD
BHI
HBI
LVLT
MOS
NOV
DG
NTAP
MLM
TGNA
JWN
YHOO
MCK
AAL
AVGO
MRO
IDXX
RCL
HPQ
ISRG
KMI
KSS
JNPR
AMZN
GRMN
CRM
AAP
AYI
REGN
NFX
MUR
EXPE
KMX
TSO
COG
TSN
MPC
HUM
PBI
HOG
EA
RL
UAL
URI
OKE
SWKS
SRCL
ULTA
CMG
EW
CNC
COTY
RRC
HRB
SIG
ARNC
WDC
VIAB
TDC
WFM
CF
UAA
BIIB
AKAM
GPS
ALXN
PRGO
MYL
HAR
PWR
NVDA
SPLS
MNST
ENDP
FTR
URBN
SWN
STX
NRG
RIG
KORS
VRTX
MNK
TRIP
NEM
MU
EVHC
ILMN
FSLR
BBY
CHK
FCX
WYNN
WMB
NFLX
