Date,^STI,0,5,10
2014-01-03,-0.0136948256,-0.0127951074,-0.0120582655,-0.0128841922
2014-01-06,-0.0024459,-0.0044353399,-0.0034718253,-0.0055541098
2014-01-07,-0.0009416578,-0.0032914747,-0.0030085966,-0.0018414035
2014-01-08,0.0094937738,0.0091351131,0.0084003694,0.0078179352
2014-01-09,-0.0016645303,0.0006309785,0.0001997724,-0.0012490973
2014-01-10,-0.000489657,0.0010177437,0.0007868614,-0.0009233542
2014-01-13,-0.0026691038,-0.0033646785,-0.0026232507,-0.0024176799
2014-01-14,-0.0037512554,-0.0050508156,-0.0050299838,-0.0037124772
2014-01-15,0.0062230933,0.0022168979,0.0020709187,0.0048652813
2014-01-16,-0.0008943978,-0.0008341689,-0.0008697901,-0.0019824617
2014-01-17,0.0021916004,0.0001657158,0.0013254005,0.0001772679
2014-01-20,-0.0059081383,-0.0027722716,-0.0024160556,-0.0065722205
2014-01-21,0.0015872039,0.0016189367,0.0017591864,0.0018986762
2014-01-22,-6.3885121655E-06,0.0004716739,0.0012131967,-0.0005737878
2014-01-23,-0.0107476516,-0.0076902509,-0.0078728646,-0.0104941372
2014-01-24,-0.0078527272,-0.0027567409,-0.0044101365,-0.0051510185
2014-01-27,-0.0109702815,-0.0046564098,-0.0045521185,-0.0095837973
2014-01-28,0.0065456431,0.0078955023,0.0069002323,0.0072968341
2014-01-29,-0.0047395096,-0.0037185866,-0.0029140562,-0.0047488809
2014-01-30,-0.0068179523,-0.0049609393,-0.0041865371,-0.0060692858
2014-02-03,-0.0120536507,-0.0091673173,-0.0090898927,-0.0110117998
2014-02-04,-0.0084442192,-0.0094757434,-0.0087907463,-0.0094913617
2014-02-05,-0.0019271241,-0.0022666417,-0.003269,-0.0036477894
2014-02-06,0.0094749283,0.009039619,0.0115132108,0.0087780207
2014-02-07,0.0082880575,0.0062350817,0.0071939006,0.0073941536
2014-02-10,0.0013465439,0.0013016425,0.0005134325,-6.31585717201E-05
2014-02-11,0.0039363453,0.0034412909,0.0041528754,0.0024359003
2014-02-12,0.0020940895,-0.0011402778,-0.0003235452,2.83271074295E-05
2014-02-13,0.0014649203,0.0031983461,0.0025684424,0.003366679
2014-02-14,-0.0003915175,-0.0007022843,-0.0014408045,-0.001984939
2014-02-17,0.0100099454,0.0073986072,0.0085261203,0.0090381652
2014-02-18,0.0004885946,0.0023821611,0.0014654603,0.0009362996
2014-02-19,0.0058478307,0.0044014668,0.0053132325,0.003454078
2014-02-20,-0.0006963551,0.0009383745,-0.0001149829,-0.0007467866
2014-02-21,0.0042964227,0.0073491251,0.004856471,0.0055121928
2014-02-24,0.0019047299,0.0034036534,0.0035472326,0.0022291765
2014-02-25,-0.0007150287,0.0034376495,0.0027872957,-0.0003150702
2014-02-26,-0.0049646224,-0.0036061984,-0.0040472262,-0.0065189824
2014-02-27,0.0027453546,0.0004510041,0.0026355349,0.0019739196
2014-02-28,0.0045235659,0.0001026355,0.0005429108,0.0040063821
2014-03-03,-0.007521532,-0.0071938019,-0.005785387,-0.0082855951
2014-03-04,0.0055683248,0.0032700785,0.0047934651,0.0037654415
2014-03-05,0.0038351634,-0.0047410298,-0.0035445299,-0.0001779944
2014-03-06,0.0040123046,0.0092600649,0.0085607395,0.0053552501
2014-03-07,0.0022632417,-0.0022847466,-0.0017422214,-0.0012670681
2014-03-10,-0.0030753006,-0.003550401,-0.0032704435,-0.0029638633
2014-03-11,0.0008855518,-0.0011913367,0.0003392678,-0.0020895787
2014-03-12,-0.0102685481,-0.008307511,-0.0075733569,-0.0093007442
2014-03-13,-0.0051919543,-0.000745248,-0.0012264755,-0.0038380306
2014-03-14,-0.0024922142,-0.0052382238,-0.0046438184,-0.0017135106
2014-03-17,0.0059748282,0.0041994238,0.0047179163,0.0030788071
2014-03-18,0.000549693,0.0004202891,0.0002498925,9.93795692921E-05
2014-03-19,-0.0042399924,0.0009937435,0.000117451,-0.0001832917
2014-03-20,-0.0076736255,-0.006051749,-0.0061638243,-0.0101480018
2014-03-21,0.0052817037,0.011354357,0.0085589699,0.005832959
2014-03-24,0.0124298505,0.0082677845,0.0086313374,0.0118439421
2014-03-25,-0.0024646589,0.0003371798,-9.3050301075E-05,-0.0022884645
2014-03-26,0.0125332441,0.0110216076,0.0117431208,0.014152348
2014-03-27,0.0060706056,0.0022050273,0.0026953369,0.0034426078
2014-03-28,0.0030656783,0.0006874464,0.001051655,0.0022098646
2014-03-31,0.0051723863,0.0047046924,0.0042532608,0.0032807738
2014-04-01,0.0030999511,0.0042279251,0.0037625022,0.0032862201
2014-04-02,-0.0017961894,2.7259811759E-05,0.001615379,-0.0007627681
2014-04-03,0.0085079915,0.0085950438,0.0084320828,0.0066526495
2014-04-04,-0.0022820899,-0.0008971281,-0.000880355,-0.0028820261
2014-04-07,-0.0059722179,-0.002626285,-0.002683131,-0.0058481805
2014-04-08,0.0032824427,0.0046663908,0.0069739595,0.0040203296
2014-04-09,0.0018178442,0.0026433952,0.0027736053,0.0028535128
2014-04-10,-0.0019770316,0.0014972333,0.0014046337,-0.0044897031
2014-04-11,-0.0016745628,-0.0026576519,-0.0030569527,-0.001881171
2014-04-14,0.0051801074,0.0016411506,0.0013577044,0.0019815117
2014-04-15,0.0097475646,0.007411317,0.007625021,0.006871514
2014-04-16,0.0021170442,0.0014846977,0.0022913888,0.0006071851
2014-04-17,0.0001844469,0.0025317445,0.0025068223,0.0011886172
2014-04-21,0.0006237003,-0.0032904334,-0.0020432845,-0.00196895
2014-04-22,0.0066428393,0.007874839,0.0076354221,0.0054392293
2014-04-23,-0.0059735162,-0.0041838214,-0.0032994002,-0.0054361541
2014-04-24,0.0079242726,0.0125373825,0.0103536732,0.0099816285
2014-04-25,-0.004994245,-0.0053932853,-0.0046645887,-0.0047452766
2014-04-28,-0.0076372223,-0.0018884707,-0.0058996566,-0.0089141
2014-04-29,-0.0015338355,0.0001171492,0.000574328,-0.0003008135
2014-04-30,0.0082953735,0.0118140653,0.0116385259,0.0101308897
2014-05-02,-0.0037316069,0.0029895436,0.0026511922,-0.0009123646
2014-05-05,-0.0033722538,-0.0008399207,-0.0011065081,-0.0028564371
2014-05-06,0.0012208613,0.0022266433,0.0024003349,0.0019435547
2014-05-07,-0.0028170772,0.00061992,-0.0005354825,-0.0024937019
2014-05-08,0.0034731068,0.0062397635,0.0065521263,0.0029176623
2014-05-09,0.0013661741,0.0043936707,0.0044983178,0.0023395307
2014-05-12,-0.0091744181,-0.0060036201,-0.005814828,-0.0071816482
2014-05-14,0.0113123301,0.0075448928,0.008633364,0.0103273652
2014-05-15,0.0041031177,0.0053480072,0.004934676,0.0049712509
2014-05-16,-0.0030297745,-0.0017564483,-0.0020462032,-0.0033765174
2014-05-19,-4.90898110783E-05,0.001119405,0.0013196785,-0.0002257302
2014-05-20,0.0009313988,0.002136603,0.0012985375,0.0004095845
2014-05-21,-0.001130627,0.0007166862,0.0016156714,-0.0024794154
2014-05-22,0.0011887918,-0.0001786854,0.0011175461,0.0006299503
2014-05-23,0.0037777284,0.0007872116,0.0008665118,0.0015882775
2014-05-26,0.0014814626,0.0016991794,0.0025790371,0.0004393086
2014-05-27,-0.0026902273,-0.0021719411,-0.0019877125,-0.0021498799
2014-05-28,-0.0006782783,-0.003275631,-0.0019530524,-0.0031028166
2014-05-29,0.0087850403,0.0106532779,0.0110538453,0.0093852729
2014-05-30,-0.001473454,-0.0024954285,-0.0036031995,-0.0059738792
2014-06-02,0.001936892,0.0023791716,0.0028226599,0.0006889291
2014-06-03,-0.0016881786,-0.0008347016,-0.0002864562,-0.0012188181
2014-06-04,-0.0050176179,-0.0022896621,-0.0026042014,-0.0047301035
2014-06-05,-0.0001615989,0.0010701325,0.0016882401,-0.0009088293
2014-06-06,0.006016078,0.0051089777,0.0043698139,0.0062225349
2014-06-09,0.0017472653,0.0020111129,0.0019126572,0.0010626763
2014-06-10,-0.0034489649,-0.0014965497,-0.0008592308,-0.0038287863
2014-06-11,-0.0011482715,-0.000308821,-0.0005087163,-0.0004536211
2014-06-12,0.0009023086,5.53037971258E-05,0.0005143527,-0.0007435568
2014-06-13,0.000072876,9.00086015463E-05,0.0004478302,-0.0002548024
2014-06-16,-0.0009083271,0.0013217516,0.0011088196,0.0001114793
2014-06-17,-0.004819748,-0.0040944293,-0.0030712336,-0.0049506389
2014-06-18,0.0007205073,0.0016725231,0.0018616021,-0.0007399321
2014-06-19,-0.0023770995,-0.0022746231,-0.0014193133,-0.0020382479
2014-06-20,-0.0031312074,-0.0043474622,-0.0038332809,-0.0040929411
2014-06-23,-0.0004297434,0.0005010571,0.0009911451,-0.0015791915
2014-06-24,0.0014204088,0.0011541098,0.0020265542,0.0010508597
2014-06-25,-0.0001502214,-0.001216054,-0.0004089326,-0.0020987503
2014-06-26,0.005207884,0.0052960515,0.0048794113,0.0048924796
2014-06-27,-0.0022963232,-0.0018798448,-0.0009836946,-0.0031004101
2014-06-30,-0.0047129816,-0.0028631967,-0.0027088095,-0.0046665929
2014-07-01,-0.0040102879,-0.00401753,-0.00420429,-0.0042939298
2014-07-02,0.0065380564,0.0046110395,0.0048925877,0.0051376745
2014-07-03,0.0028269578,0.0048684441,0.0051533952,0.0030117519
2014-07-04,-0.0002749724,0.0018458236,0.0011936575,-0.0006826483
2014-07-07,0.0058868536,0.0032918584,0.0045716688,0.0049348325
2014-07-08,-0.0025034515,-0.0026744846,-0.0021288171,-0.0025145635
2014-07-09,-0.0024029184,-0.00192081,-0.001691198,-0.0029523522
2014-07-10,-0.0018212373,0.0001910422,-0.0006622951,-0.0022003166
2014-07-11,0.0073835871,0.0100766923,0.0101992749,0.0069521479
2014-07-14,-0.0008352684,0.0005106032,0.0002035256,-0.0008643121
2014-07-15,0.0001336722,0.001609968,0.0020538233,-0.0002334639
2014-07-16,0.003944913,0.0043495288,0.0049722828,0.0040890425
2014-07-17,0.0007441664,-0.001187535,8.91517847776E-05,0.0004647002
2014-07-18,0.0011001679,0.0020994134,0.0016319398,-0.0002389327
2014-07-21,0.0011290881,0.0014137868,0.0019218773,0.0003040731
2014-07-22,0.0007962059,0.0031162053,0.0029589124,0.0018348657
2014-07-23,0.0071467511,0.0091687441,0.0086719692,0.0069157295
2014-07-24,0.0039404831,0.0018296968,0.002859734,0.0015207082
2014-07-25,-0.0011097668,-0.0006686021,-0.0006555822,-0.0024327263
2014-07-29,0.0017625819,0.0027291905,0.0035201423,0.0020813011
2014-07-30,-0.0007243737,0.0031125695,0.0023401901,0.000200998
2014-07-31,0.0060675088,0.0063396133,0.0062638223,0.0052312277
2014-08-01,-0.0088235224,-0.0102425665,-0.008476384,-0.0104091875
2014-08-04,-0.0078105526,-0.0067114476,-0.0059518721,-0.0052557234
2014-08-05,0.0027896264,0.0054215081,0.0047842003,0.0038463436
2014-08-06,-0.0022382843,0.0018948428,0.0025793202,-0.000812415
2014-08-07,-0.0018117585,-0.0006607249,-0.0001282264,-0.004014045
2014-08-08,-0.0076722038,-0.0072087962,-0.0060208663,-0.0080412235
2014-08-11,0.0053250022,0.0055970633,0.005557064,0.0039439686
2014-08-12,-0.0009259099,-0.0004358459,0.0003285762,-0.0006790981
2014-08-13,-0.0005995582,0.0012798421,0.0010475013,-0.0008547194
2014-08-14,-0.0019950263,-0.0015622396,-0.0008691363,-0.0018260516
2014-08-15,0.0060336487,0.0021984279,0.0033351742,0.0035557598
2014-08-18,-0.0006005209,0.0012482535,0.0006552283,0.0004552975
2014-08-19,0.0011011579,0.0056230584,0.0047970749,0.0017238557
2014-08-20,0.0021746645,0.0023888331,0.0025386289,0.0017507821
2014-08-21,0.0001324318,0.0028956756,0.0026090071,-0.0006433129
2014-08-22,0.0004240598,0.0007950906,0.0009417888,-0.0009100288
2014-08-25,0.0014363545,0.0036699679,0.0021726079,0.0017248914
2014-08-26,-0.0021823792,-0.00070397,-0.0004444756,-0.0030810758
2014-08-27,0.0055338115,0.0041773431,0.0047527738,0.0052653328
2014-08-28,-0.0033694664,-0.00087866,-0.0002285391,-0.0015998408
2014-08-29,-0.0009402847,-0.0018016379,-0.0010435414,-0.0030395389
2014-09-01,-0.0039029641,-0.0019412469,-0.0019218381,-0.0032668263
2014-09-02,0.0042665674,0.0016787313,0.002687782,0.0025596544
2014-09-03,0.0061314424,0.0028091222,0.0034973882,0.0044763908
2014-09-04,-0.0007258826,-0.0012768209,-0.0006321967,-0.0020505041
2014-09-05,-0.0013786066,-0.0002334192,-0.0001139827,-0.0014820658
2014-09-08,-0.0019589994,0.0003610346,0.0004271846,-0.0013665743
2014-09-09,0.0023269988,0.0018801969,0.0017378051,0.0011960678
2014-09-10,-0.0012961222,-0.0011350662,-0.0002784003,-0.0021177605
2014-09-11,0.0025875762,0.0023945179,0.0020498447,0.0012337007
2014-09-12,-0.0005169652,0.0038765259,0.003495723,0.0001739711
2014-09-15,-0.0099369933,-0.0087004676,-0.0092271492,-0.0093294606
2014-09-16,-0.0121032028,-0.0092768464,-0.0090874955,-0.0107159615
2014-09-17,0.0072643034,0.0053070383,0.0061711483,0.0048474148
2014-09-18,0.0002457044,-0.0019827578,-0.0015773829,-0.0013272651
2014-09-19,0.0023506858,0.0032184888,0.003886871,0.001728829
2014-09-22,-0.002569062,-0.0023495033,-0.001399979,-0.0029579252
