T39.SI,S59.SI,U96.SI,A17U.SI,N21.SI,U14.SI,U11.SI,S63.SI,O39.SI,C61U.SI,CC3.SI,MC0.SI,C09.SI,Y92.SI,BN4.SI,S58.SI,D05.SI,C52.SI,C38U.SI,Z74.SI,C31.SI,F34.SI,J36.SI,G13.SI,C07.SI,S51.SI,BS6.SI,H78.SI,E5H.SI,
0.0543143448191,0.0764928942605,0.124883531675,0.110499913856,1.0642087081,0.052196329914,0.0830911414341,0.113452209371,0.0347695392189,0.096211292817,0.077003279812,0.0786748272348,0.0639698649976,0.127721824172,0.170733991552,0.105638887062,0.0787278148014,0.0712410446667,0.0853943164468,0.0432630698424,0.0553971313357,0.0568933467583,0.150543674594,0.22461334556,0.114984940394,0.307862396161,0.229058903784,0.0716885612627,0.350020324235,
0.0543143453416,0.0764928943032,0.124986575108,0.0710344541115,0.548869127147,0.0525462688754,0.042848923974,0.11345220825,0.0341955826221,0.0449646991903,0.046347253784,0.0805869718711,0.0642995494095,0.132732485009,0.0896115581065,0.0457040656765,0.0404961758456,0.0713659658967,0.085394318922,0.04338809186,0.0558670805022,0.056891849854,0.150543675399,0.224613346111,0.113966879894,0.144331541348,0.123128124774,0.146869054479,0.168639251038,
0.0543143449188,0.0764928942865,0.124704083804,0.110499914189,0.548385732326,0.0520996778856,0.0830911413255,0.113452207601,0.0675282213456,0.0962112920002,0.0770032799419,0.0775330932032,0.0642920549809,0.161216501492,0.094014636173,0.105638888959,0.0787278153173,0.071109449477,0.0853943182698,0.0429457668376,0.115386202375,0.0575652363483,0.150543675048,0.224613346867,0.244150881254,0.141863856458,0.126900862883,0.071592876307,0.168209744584,
0.0543143452465,0.0764928942548,0.125127242912,0.110499914136,1.06420870801,0.104644604564,0.0830911423427,0.113452205335,0.0675282217764,0.0962112917002,0.0770032804623,0.07822577553,0.0643968437877,0.137852722668,0.170733991288,0.105638887113,0.0403262923467,0.156103186776,0.0418081188815,0.0468165400119,0.0555084047821,0.0633435421427,0.0756369573385,0.110023181628,0.114985910969,0.307862390149,0.229058903215,0.146869055503,0.3500203245,
0.0543143455123,0.0764928943127,0.124646213778,0.110499913792,0.548055640202,0.104644604857,0.0425923254994,0.113452204621,0.0338453489829,0.0451219369491,0.0502058128823,0.158079991339,0.129439275037,0.126803117318,0.0903894763116,0.105638886399,0.0401434244563,0.156103185942,0.0853943188438,0.0449335701347,0.115386201845,0.0600363748205,0.0709231751925,0.109935439619,0.244150879504,0.141321748372,0.123768052347,0.146869054277,0.169062695419,
0.0304519190945,0.042786868396,0.124613144361,0.110499913456,0.547482833792,0.104644604426,0.042885085585,0.0596968111116,0.0675282216551,0.0962112923832,0.0770032797387,0.158079992742,0.0638349090643,0.128998404127,0.0894862134004,0.105638886711,0.0395170092752,0.0707318939965,0.0853943187801,0.0911587208368,0.115386201403,0.0567129487155,0.15054367526,0.109896913716,0.244150878973,0.141716903736,0.122487120475,0.146869054438,0.168026667519,
0.0543143455007,0.0764928944187,0.124774153221,0.0544654445119,1.06420870656,0.104644603703,0.0424355437087,0.11345220782,0.0337818217113,0.0962112922768,0.0770032799621,0.077392759838,0.129439274894,0.134654661754,0.0895142519291,0.10563888642,0.0787278153217,0.156103186702,0.0407675457507,0.0911587210236,0.115386200693,0.0565244287185,0.150543675694,0.109845158441,0.113194323958,0.141237978943,0.122350665435,0.146869054398,0.350020324567,
0.0543143456383,0.0764928947716,0.125012994383,0.110499913891,0.550611160594,0.104644604801,0.0830911412449,0.0595988641421,0.0340726958493,0.0450804549392,0.0770032801801,0.0776221399619,0.0639608472771,0.128613646496,0.089631425961,0.105638886891,0.0787278157103,0.156103185568,0.0853943174692,0.0435692336199,0.115386200923,0.119812760177,0.150543675531,0.111154187558,0.244150879977,0.307862393458,0.12278883428,0.146869054476,0.350020325785,
0.0543143453438,0.0764928963375,0.133581031088,0.0544461166641,0.549468138819,0.10464460467,0.0727073778871,0.113452208143,0.067528221357,0.0962112924231,0.0770032793577,0.158079992603,0.0641812693657,0.142189206318,0.0918959773753,0.10563888796,0.0787278151408,0.0710020631993,0.0407855742035,0.0430602164934,0.0550281511311,0.119812760283,0.150543675655,0.110133374042,0.244150879827,0.307862392858,0.229058904304,0.0717193118515,0.168423530367,
0.0543143455098,0.0764928953986,0.125266396027,0.110499913412,1.06420870738,0.052424664259,0.0541507751387,0.0598166742839,0.0340456446139,0.0962112924679,0.0770032800981,0.158079992708,0.12943927544,2.58350262345,0.0897301792004,0.106369598678,0.0400804006483,0.0724584850571,0.0419641355994,0.0436609068989,0.115386202409,0.0566621160334,0.150543674933,0.110525722146,0.113417277085,0.141775164999,0.122519990893,0.146869055156,0.169390090482,
