Date,^GSPC,^^GSPC,0,10,20,30,40
2014-03-12,0.0003051242,0.0003051242,-0.0043722866,-0.0023147035,-0.0011619064,-0.0040033814,0.0011343029
2014-03-13,-0.0117700915,-0.0117700915,-0.0020538964,-0.0040406119,-0.0058474941,-0.0092000701,-0.0062918426
2014-03-14,-0.0028257665,-0.0028257665,-0.0020519667,0.0007996522,0.0021338724,-0.0007696878,0.0015580831
2014-03-17,0.0095677176,0.0095677176,0.011537767,0.0083905365,0.0094228815,0.0114859687,0.0092221107
2014-03-18,0.0071936823,0.0071936823,0.0037953677,0.0042821243,0.0042431457,0.0047483305,0.0078273779
2014-03-19,-0.0061505248,-0.0061505248,-0.0060728951,-0.0021142233,-0.0058474946,-0.0049404725,-0.0062918426
2014-03-20,0.006022334,0.006022334,0.0022378499,0.001746919,0.0006416282,0.0029646838,0.0052554123
2014-03-21,-0.00293698,-0.00293698,0.0023320951,-0.0001867935,-0.0012501269,-0.0006414652,-0.0019240663
2014-03-24,-0.0048765814,-0.0048765814,-0.0060728965,-0.0056660976,-0.0058474946,-0.0052866861,-0.0062918426
2014-03-25,0.004394271,0.004394271,0.0025765644,0.0007244758,0.0020566704,0.0014216565,0.0040531168
2014-03-26,-0.0070249367,-0.0070249367,-0.0029818718,-0.0059092734,-0.0058474946,-0.0052058995,-0.0062918426
2014-03-27,-0.0019018916,-0.0019018916,-0.0018630382,-0.001194112,-0.0004730849,-0.0003020316,-0.0005985908
2014-03-28,0.0046294892,0.0046294892,0.0016359924,-0.0006960724,-0.000872625,0.0018252861,0.0038019717
2014-03-31,0.0078928715,0.0078928715,0.011645996,0.0131326681,0.0124883866,0.0155901955,0.0129011124
2014-04-01,0.0070146882,0.0070146882,0.000587903,0.0007013511,0.0031287717,0.0024634786,0.0029633641
2014-04-02,0.0028492634,0.0028492634,0.0028052097,0.0014952365,0.0010981471,0.0020312853,0.0026016999
2014-04-03,-0.0011270847,-0.0011270847,0.0006649876,-0.0040141586,-0.004018012,-0.004300531,-0.0027681636
2014-04-04,-0.0126165431,-0.0126165431,-0.0060345093,-0.0056847148,-0.0058474937,-0.0086299572,-0.0062918426
2014-04-07,-0.0108083125,-0.0108083125,-0.0043026768,-0.0047018882,-0.0057542119,-0.0087168589,-0.0062918426
2014-04-08,0.003743538,0.003743538,0.0019384343,0.0069007818,0.006810789,0.0054688184,0.0072907638
2014-04-09,0.0108590395,0.0108590395,0.0082705747,0.0091683567,0.0100804353,0.0083801784,0.0107219219
2014-04-10,-0.0211059679,0.02,-0.0060728979,-0.0065770373,-0.0058474941,-0.0052058995,-0.0062918426
2014-04-11,-0.0095320599,-0.0095320599,-0.0060721938,-0.0065770373,-0.0058474937,-0.0052058995,-0.0062918426
2014-04-14,0.0081837082,0.0081837082,0.0061266273,0.0058314949,0.0061781621,0.0035504624,0.0070353411
2014-04-15,0.0067345795,0.0067345795,0.0050068488,0.0029897429,0.0037904158,0.003749961,0.0065138452
2014-04-16,0.0104338684,0.0104338684,0.0109107429,0.0098960632,0.0094352774,0.010537995,0.0129204765
2014-04-17,0.0013629237,0.0013629237,-0.0007857666,-1.07418745756E-05,0.0013169339,0.0032841964,0.0027309898
2014-04-21,0.0037680156,0.0037680156,0.0008382867,0.0040257387,0.0025440855,0.0019469513,0.0044404715
2014-04-22,0.0040837889,0.0040837889,5.28516247869E-05,0.0042877924,0.0054199239,0.0043488955,0.0076621622
2014-04-23,-0.0022157668,-0.0022157668,0.001833424,-0.0021041427,-0.001974964,-0.0009704158,0.0021385979
2014-04-24,0.0017154879,0.0017154879,0.00177819,0.0046047941,0.0033559464,0.0011724392,0.002881946
2014-04-25,-0.0081293448,-0.0081293448,-0.0029439039,-0.0065770373,-0.0058474937,-0.0081412606,-0.0058458424
2014-04-28,0.0032308115,0.0032308115,0.0088463174,0.0037784465,0.0076976968,0.004193956,0.004399362
2014-04-29,0.0047494603,0.0047494603,0.0040616635,0.0038887504,0.0062466329,0.0075593106,0.0080176666
2014-04-30,0.0029875497,0.0029875497,0.0012155385,0.0030579753,0.0035965154,0.0033901501,0.0033618156
2014-05-01,-0.0001432715,-0.0001432715,-0.0027432037,-0.0012241285,0.000399163,0.001139191,0.0013578786
2014-05-02,-0.001349355,-0.001349355,-0.0060728951,-0.0046700761,-0.0044229478,-0.0037951395,-0.001775797
2014-05-05,0.0018694673,0.0018694673,0.0019678744,0.0019315574,0.0028155269,0.00298048,0.0036091637
2014-05-06,-0.0090290312,-0.0090290312,-0.0060728965,-0.0064457394,-0.0058474941,-0.0052058995,-0.0062918426
2014-05-07,0.0056007547,0.0056007547,0.0120066227,0.0062882099,0.0060616387,0.0061061447,0.0061636362
2014-05-08,-0.0013745692,-0.0013745692,-0.0031283349,-0.0044187512,-0.0047078403,-0.0043300893,-0.0034151797
2014-05-09,0.0015183229,0.0015183229,0.0051439125,0.0037951171,0.0041041905,0.0030157398,0.0043604309
2014-05-12,0.0096262562,0.0096262562,0.0027440498,0.005534282,0.0069889734,0.0092122685,0.0106576271
2014-05-13,0.0004216689,0.0004216689,-0.0006686179,-0.0003321823,-0.0021513049,0.0002777847,0.0002324674
2014-05-14,-0.0047120896,-0.0047120896,-0.004702691,-0.0044615734,-0.003928653,-0.0053842235,-0.00366802
2014-05-15,-0.0094059038,-0.0094059038,-0.0050844257,-0.0062119476,-0.0058474937,-0.0052058995,-0.0062918426
