MMC
PEP
TMK
PG
CB
AJG
JNJ
ITW
RSG
USB
AFL
CINF
L
ADP
T
DHR
KO
FISV
WM
PGR
MMM
CL
VZ
PX
PAYX
OMC
SO
TRV
WFC
HON
PNC
PBCT
UPS
TROW
CHD
CLX
FRT
KMB
GIS
AON
BBT
MO
D
SYK
MCD
VNO
GPC
GD
XEL
BLK
UTX
DTE
TMO
ES
MKC
ECL
XRAY
SPG
ED
AVB
PNW
GS
DUK
AIG
BXP
PM
COL
AEP
KIM
GE
NEE
LMT
BDX
LNT
AWK
EFX
DPS
COST
APH
SCG
SWK
JPM
CCI
CMS
ALL
PCG
XL
AMT
AME
ESS
MTB
HD
CA
CMCSA
BK
PLD
PSA
EIX
BAX
SRE
DVA
ACN
AEE
EQR
NOC
XOM
WEC
ROP
UDR
NDAQ
AZO
RTN
SNA
PPG
CPB
BCR
JBHT
PFE
K
HSIC
EMR
LEG
NTRS
ETR
TEL
STI
PPL
HIG
SBUX
MCO
MTD
CNP
CME
PKI
DFS
DIS
IR
AVY
MDT
V
MA
A
AIV
UNM
GGP
SPGI
O
CTAS
PEG
SLG
MAA
VAR
ORCL
IBM
CVX
ALLE
APD
CSCO
SYY
IPG
DGX
ABT
EXPD
BEN
AMP
PH
NI
IVZ
WY
FDX
CVS
EXR
LH
LOW
PFG
ROK
DLR
PRU
MRK
EL
VRSK
HRS
UNH
WMT
ETN
FITB
BA
XYL
HBAN
SJM
UNP
GWW
PCAR
MAR
STT
HRL
MS
OXY
C
MSI
HCN
ICE
NWL
MET
FIS
SLB
MDLZ
IP
AXP
LUK
CSX
KEY
IFF
BAC
F
WYN
INTU
TJX
STZ
DOV
CBS
SHW
EQIX
BLL
WU
JCI
TXN
CAT
MAC
HST
ORLY
COF
EMN
EXC
RF
NKE
GLW
FAST
ESRX
KR
AIZ
MHK
CAH
FE
DD
CMA
TGT
FOX
ZION
MON
ADM
VFC
DOW
ANTM
PNR
ADBE
CAG
FBHS
GM
RAI
INTC
PSX
CMI
JEC
CERN
COO
GOOGL
WAT
DNB
MSFT
TDG
FOXA
AMGN
LNC
CHRW
VRSN
HSY
AET
NWS
GOOG
SCHW
NLSN
CCL
MCHP
NUE
ZBH
DRI
PDCO
MJN
TSS
NSC
HOLX
SEE
VTR
LLL
DE
LEN
COP
DLPH
ABC
AAPL
FLIR
SNI
CBG
AMG
FLS
AES
NWSA
LLY
TXT
ROST
VMC
PHM
MAS
SE
R
FMC
GPN
ADI
LB
BSX
RHI
HAS
TAP
HCP
EOG
CTXS
ZTS
CI
FLR
LRCX
LYB
FL
XRX
AN
TIF
BBBY
XLNX
ETFC
DISCK
WHR
BWA
ABBV
SYMC
LKQ
RHT
AMAT
WBA
DLTR
KLAC
CTL
IRM
TWX
HAL
FFIV
BMY
COH
YUM
HCA
PCLN
CHTR
EBAY
CELG
CTSH
TSCO
DISCA
ALK
DHI
GT
HES
ALB
UHS
MAT
KSU
FTI
NBL
VLO
ADSK
DAL
LLTC
NTAP
FB
ATVI
TGNA
YHOO
EQT
GILD
QCOM
LVLT
DG
LUV
MLM
APA
XEC
ADS
BHI
IDXX
HPQ
MOS
HBI
PVH
GRMN
PXD
AGN
NOV
AYI
ISRG
DVN
AAP
MCK
JNPR
TSN
AVGO
KMX
APC
HP
KMI
TSO
HOG
AMZN
MPC
RCL
HUM
PBI
EA
CRM
CXO
EXPE
HRB
COG
M
CMG
JWN
REGN
ULTA
EW
SIG
SRCL
WFM
AAL
COTY
MUR
OKE
TDC
SWKS
MRO
ARNC
CNC
WDC
VIAB
RL
AKAM
CF
UAL
URI
KSS
PRGO
MNST
FTR
GPS
ALXN
NVDA
BIIB
MYL
UAA
NFX
PWR
SPLS
RRC
HAR
URBN
NRG
NEM
KORS
STX
VRTX
MU
RIG
TRIP
BBY
WYNN
ILMN
MNK
FSLR
NFLX
SWN
FCX
WMB
CHK
ENDP
EVHC
