Date,Adj Close
2015-01-02,39.862469
2015-01-05,38.439152
2015-01-06,37.331066
2015-01-07,37.722717
2015-01-08,38.372282
2015-01-09,37.082699
2015-01-12,36.691048
2015-01-13,36.375818
2015-01-14,35.69759
2015-01-15,35.067127
2015-01-16,36.480892
2015-01-20,36.213424
2015-01-21,36.73881
2015-01-22,38.076157
2015-01-23,37.684506
2015-01-26,38.037947
2015-01-27,37.43614
2015-01-28,36.452236
2015-01-29,37.159121
2015-01-30,36.700599
2015-02-02,37.483905
2015-02-03,37.951974
2015-02-04,37.81824
2015-02-05,38.506019
2015-02-06,39.317978
2015-02-09,38.878565
2015-02-10,39.126928
2015-02-11,38.954983
2015-02-12,39.700078
2015-02-13,39.709629
2015-02-17,39.805153
2015-02-18,39.136482
2015-02-19,38.849905
2015-02-20,39.24156
2015-02-23,39.155588
2015-02-24,39.595001
2015-02-25,39.652595
2015-02-26,39.527809
2015-02-27,39.355031
2015-03-02,39.614199
2015-03-03,39.758178
2015-03-04,39.316635
2015-03-05,39.566205
2015-03-06,40.238118
2015-03-09,40.401299
2015-03-10,39.489413
2015-03-11,39.748581
2015-03-12,41.006024
2015-03-13,40.727658
2015-03-16,41.063614
2015-03-17,41.188399
2015-03-18,40.842842
2015-03-19,40.439695
2015-03-20,40.94843
2015-03-23,40.247718
2015-03-24,39.882964
2015-03-25,38.913488
2015-03-26,39.067068
2015-03-27,38.923085
2015-03-30,39.479816
2015-03-31,39.44142
2015-04-01,39.20145
2015-04-02,39.710185
2015-04-06,39.431823
2015-04-07,39.537407
2015-04-08,39.710185
2015-04-09,39.844567
2015-04-10,39.83497
2015-04-13,40.22852
2015-04-14,39.978954
2015-04-15,40.564477
2015-04-16,40.439695
2015-04-17,39.748581
2015-04-20,40.094138
2015-04-21,39.806175
2015-04-22,39.758178
2015-04-23,39.268642
2015-04-24,38.846296
2015-04-27,38.999877
2015-04-28,39.499014
2015-04-29,40.026947
2015-04-30,39.83497
2015-05-01,40.007749
2015-05-04,40.746856
2015-05-05,40.478087
2015-05-06,40.190124
2015-05-07,40.065343
2015-05-08,40.660467
2015-05-11,40.938832
2015-05-12,40.94843
2015-05-13,41.178802
2015-05-14,41.063614
2015-05-15,40.458893
2015-05-18,41.063614
2015-05-19,41.869912
2015-05-20,41.245993
2015-05-21,41.178802
2015-05-22,41.178802
2015-05-26,41.006024
2015-05-27,41.498327
2015-05-28,41.517629
2015-05-29,41.199082
2015-06-01,40.52337
2015-06-02,40.870879
2015-06-03,41.459714
2015-06-04,40.996369
2015-06-05,41.527284
2015-06-08,41.35353
2015-06-09,41.903751
2015-06-10,42.482931
2015-06-11,42.347789
2015-06-12,42.222303
2015-06-15,42.396054
2015-06-16,42.76287
2015-06-17,42.367096
2015-06-18,42.347789
2015-06-19,42.077506
2015-06-22,42.627728
2015-06-23,42.955931
2015-06-24,42.59877
2015-06-25,42.289874
2015-06-26,42.347789
2015-06-29,41.150817
2015-06-30,41.527284
2015-07-01,42.289874
2015-07-02,42.029242
2015-07-06,41.990629
2015-07-07,41.565897
2015-07-08,40.967408
2015-07-09,41.71069
2015-07-10,42.347789
2015-07-13,42.791831
2015-07-14,43.206907
2015-07-15,43.689558
2015-07-16,43.776436
2015-07-17,43.197256
2015-07-20,43.110379
2015-07-21,43.226214
2015-07-22,43.148992
2015-07-23,42.801482
2015-07-24,42.772525
2015-07-27,42.396054
2015-07-28,42.656686
2015-07-29,42.936624
2015-07-30,43.139337
2015-07-31,42.801482
2015-08-03,42.482931
2015-08-04,42.618076
2015-08-05,43.091072
2015-08-06,42.878705
2015-08-07,42.347789
2015-08-10,43.139337
2015-08-11,42.463628
2015-08-12,41.459714
2015-08-13,41.865139
2015-08-14,42.608421
2015-08-17,42.627728
2015-08-18,42.724257
2015-08-19,42.30918
2015-08-20,40.909492
2015-08-21,39.316742
2015-08-24,36.980714
2015-08-25,36.33396
2015-08-26,37.675729
2015-08-27,39.297758
2015-08-28,39.346321
2015-08-31,39.210343
2015-09-01,37.364924
2015-09-02,37.831135
2015-09-03,38.200221
2015-09-04,37.695158
2015-09-08,38.773269
2015-09-09,38.287632
2015-09-10,38.511028
2015-09-11,38.375047
2015-09-14,38.462461
2015-09-15,38.967525
2015-09-16,38.90925
2015-09-17,37.928261
2015-09-18,36.704457
2015-09-21,37.219232
2015-09-22,36.791872
2015-09-23,36.908424
2015-09-24,36.636468
2015-09-25,37.442624
2015-09-28,36.199394
2015-09-29,36.500491
2015-09-30,37.141531
2015-10-01,37.481476
2015-10-02,37.190094
2015-10-05,38.103091
