Date,^STI,0,5,10,20
2016-01-05,-0.0006137318,0.0013632961,0.0035152985,0.0027332194,-0.0010095593
2016-01-06,-0.0106270256,-0.0067156944,-0.0097412867,-0.0089277513,-0.0104545895
2016-01-07,-0.0268746533,-0.0239709653,-0.0284861587,-0.0196081512,-0.027877748
2016-01-08,0.0077794678,0.0056486912,0.0087878918,0.0101201646,0.0036993884
2016-01-11,-0.0155238504,-0.0123441704,-0.0131406542,-0.011390673,-0.0154406801
2016-01-12,-0.0063215312,-0.0021917224,-0.0046969811,-0.0030159764,-0.0083484035
2016-01-13,0.0017519402,0.0020118523,-0.0014204867,0.0044379365,0.0045507783
2016-01-14,-0.0194461289,-0.0229359791,-0.0231517851,-0.0196081512,-0.0221088938
2016-01-15,-0.0052357253,-0.0089172646,-0.0076090023,-0.0024681706,-0.0054314137
2016-01-18,-0.0144572751,-0.0166079849,-0.0189968422,-0.0168162398,-0.0146517083
2016-01-19,0.0173836862,0.0104852235,0.0227717534,0.0162176434,0.0142403804
2016-01-20,-0.0302817742,-0.0166142695,-0.0241197199,-0.0196081437,-0.0314267203
2016-01-21,-0.0106315105,-0.0097244196,-0.0063925665,-0.0066359928,-0.0122862291
2016-01-22,0.0173749815,0.0110460073,0.0134713026,0.0138437953,0.0138650648
2016-01-25,0.0021512006,0.0089772148,0.0028370153,0.0021429528,-0.0014569312
2016-01-26,-0.0144417412,-0.0136246681,-0.0152715249,-0.0116043566,-0.0116500258
2016-01-27,0.0002238211,-0.0058452561,-0.0019683414,-0.0008378644,-0.0023171473
2016-01-28,0.0063696429,0.0003573094,0.0024191486,0.0032143816,0.0049832491
2016-01-29,0.0256816136,0.0219171196,0.0230904855,0.0198238101,0.0180469304
2016-02-01,-0.0102075216,-0.0138213187,-0.0137487492,-0.0099374503,-0.0117430054
2016-02-02,-0.0089470079,-0.0079562925,-0.0112093147,-0.0088615688,-0.0087754615
2016-02-03,-0.0111073878,-0.0112984627,-0.008904417,-0.0089113107,-0.0147092529
2016-02-04,0.0030337276,0.0118048554,0.0114024626,0.0090336613,0.0070722373
2016-02-05,0.024981507,0.0177632011,0.0168008246,0.0185377318,0.0154634742
2016-02-10,-0.0157956845,-0.0111931376,-0.0111765871,-0.0100267753,-0.0136162341
2016-02-11,-0.0171163616,-0.0125026032,-0.0164430588,-0.0144025125,-0.0151409656
2016-02-12,0.0006576788,0.0005719382,8.7870284915E-07,0.0003991835,-0.0010143723
2016-02-15,0.0264008857,0.0219171196,0.0197383054,0.0198238175,0.0170315802
2016-02-16,0.0139670298,0.0172499958,0.0210816041,0.0213849042,0.0106756194
2016-02-17,-0.0117110018,-0.0125374682,-0.0072267209,-0.005406172,-0.0056809001
2016-02-18,0.0166109068,0.0138672516,0.0174827985,0.0126913879,0.0163085163
2016-02-19,-0.0002634148,-0.0016031507,-0.0030328266,0.0020590592,0.0001930743
2016-02-22,0.0014216348,-0.0018263943,-0.0018071891,0.0035022255,0.0025970945
2016-02-23,0.0042830614,0.0092034759,0.0073062349,0.004972348,0.0047025625
2016-02-24,-0.0196944428,-0.0127892569,-0.0164074525,-0.0150787756,-0.0187022761
2016-02-25,-0.0063407902,-0.009999834,-0.0133286007,-0.0114280023,-0.0086222813
2016-02-26,0.0175073608,0.0165890586,0.0180432461,0.0157207195,0.0168068819
2016-02-29,0.0064448988,0.002465114,-0.0007200008,0.0046746563,0.0052576009
2016-03-01,0.0059376432,0.0073837265,0.0079695713,0.0050057787,0.0064767096
2016-03-02,0.0164792731,0.0202957001,0.0161290579,0.0156428423,0.0180469304
2016-03-03,0.0220008058,0.0219171196,0.0216653123,0.0186834838,0.0152885569
2016-03-04,0.0175589287,0.0219171196,0.0233421661,0.0177628938,0.0169894956
2016-03-07,-0.0047663605,-0.0011290386,0.0028534206,-0.0018559657,-0.004916776
2016-03-08,-0.0159724044,-0.0104297698,-0.015765205,-0.0164613016,-0.0196106322
2016-03-09,0.0113290814,0.0087483358,0.0084504317,0.0092970375,0.010406564
2016-03-10,-0.0004661637,-0.0034310762,-0.0016869004,-0.0006781612,-0.0005496107
2016-03-11,0.0070025328,0.0062104911,0.0061192326,0.0070452616,0.007619407
2016-03-14,0.0064130621,0.0120137641,0.0078219455,0.010174023,0.0071665691
2016-03-15,-0.0026800748,-0.0028756484,-0.0032453623,-0.0058805952,-0.0068102144
2016-03-16,0.0016785063,0.0044085141,0.0050605442,0.0060513988,0.0049151471
2016-03-17,0.0125639579,0.011366304,0.0128078042,0.011442272,0.0138521716
2016-03-18,0.0092035435,0.0130666355,0.0111696171,0.0142732169,0.0112788174
2016-03-21,-0.0090230083,-0.0097562224,-0.0082957977,-0.0067163752,-0.0083831139
2016-03-22,-1.3899197441E-05,-0.0005083065,0.0026477994,0.0054296181,0.0014703963
2016-03-23,0.0004616219,0.0010716468,0.0023337556,0.0024659112,0.0022070426
2016-03-24,-0.0120748034,-0.0113952495,-0.0141444672,-0.0148000568,-0.01486459
2016-03-28,-0.006023554,-0.006738672,-0.0078997714,-0.0064727757,-0.0062341336
2016-03-29,-0.0039685754,-0.0016445909,-0.0047669862,-0.0050148601,-0.004667066
2016-03-30,0.0188695939,0.0142025407,0.0160961486,0.015119547,0.0178880543
2016-03-31,-0.0111593433,-0.0057445019,-0.0095032081,-0.0072046444,-0.0096696746
2016-04-01,-0.0079195919,-0.0029173195,-0.0035251037,-0.0056310045,-0.0073746834
2016-04-04,0.0059641439,0.000786487,0.0003150641,0.0016584694,0.0028760349
2016-04-05,-0.0122175141,-0.0077706762,-0.0104568126,-0.0085292142,-0.0109392889
2016-04-06,0.0036813175,0.0002504643,0.0018541217,0.0030247178,0.0037598964
2016-04-07,0.000832055,0.0045619458,0.0012469152,0.0064097717,0.006540508
2016-04-08,-0.0018748153,-0.0005243868,0.0017977506,-0.0004943274,-0.0015989989
2016-04-11,0.0003275166,0.0048722271,0.0025244178,0.0023745839,0.0028926153
2016-04-12,0.0019239045,0.0010536518,0.0008287248,0.0010866355,0.000916576
2016-04-13,0.026560445,0.0219171196,0.0278363712,0.0204897244,0.0137631577
2016-04-14,0.0081043321,0.0107644545,0.0085599236,0.0081365407,0.0070031947
2016-04-15,0.0034293395,0.0044907127,0.0036174599,0.0032624453,0.0029713316
2016-04-18,-0.0021192304,0.000271393,-0.0027361447,-0.0006664563,-0.0022129174
2016-04-19,0.0116057902,0.0075570773,0.0116668725,0.0090946611,0.0109227393
2016-04-20,-0.0006303571,0.0011130944,0.001679183,0.0017333273,-0.0013064761
2016-04-21,0.0036645525,0.0047697145,0.0068476545,0.010228347,0.008809126
2016-04-22,-0.0068969509,-0.0004664194,-0.0016859733,-0.0046523036,-0.0070646834
2016-04-25,-0.013748512,-0.0074327365,-0.0116540473,-0.0141860209,-0.015699584
2016-04-26,-0.0019396642,0.000040995,-0.0015208879,-0.0032597054,-0.0019797459
2016-04-27,-0.0069123617,-0.0054499153,-0.0030334482,-0.0029076301,-0.0032406989
2016-04-28,-0.0043297536,-0.0045717955,-0.0037053123,-0.0063677654,-0.0080112051
2016-04-29,-0.0083427179,-0.0085405372,-0.0073269936,-0.0079388851,-0.0090136994
2016-05-03,-0.0096713756,-0.0035109855,-0.0085828369,-0.0099370982,-0.0101406816
2016-05-04,-0.0136563868,-0.0056839455,-0.0074698133,-0.0082140127,-0.0129465982
2016-05-05,-0.0018986192,-0.0045695044,-0.0024528019,-0.019608153,0.0016609281
2016-05-06,-0.0134617906,-0.0063624103,-0.0093929814,-0.0125808362,-0.0159121975
2016-05-09,0.0128293218,0.0106746117,0.0036838567,0.0144635607,0.0083636101
2016-05-10,-0.0090464417,-0.0103305802,-0.0091531631,-0.0094146114,-0.0097050611
2016-05-11,-0.0030251228,0.0005210955,-0.0010032048,-0.0034114104,-0.0055229552
2016-05-12,0.0045707205,0.0077077812,0.0071504144,0.0079621263,0.0036351625
2016-05-13,-0.003824606,0.0031397827,-0.0005699922,0.0085965842,-0.0034575965
2016-05-16,0.0004204545,-0.0016281232,-0.0008799136,-0.0012213457,-0.0008596461
2016-05-17,0.0163312162,0.013608031,0.0162601322,0.0149263423,0.0180469304
2016-05-18,-0.0014393099,0.0023642182,-0.0023872717,-0.0005556457,-0.0015980266
2016-05-19,-0.0134127525,-0.0028424263,-0.0060210112,-0.0077635003,-0.0125520974
2016-05-20,0.0086157007,0.0047846306,0.0064115422,0.0054816306,0.0063950364
2016-05-23,0.0011245724,0.0032254215,0.0028170692,0.0014090724,-0.0005675238
2016-05-24,-0.0060538405,-0.0031814538,-0.0042639086,-0.0042601256,-0.0068714581
2016-05-25,0.0059562474,0.0084093641,0.006445365,0.0086585246,0.0078048063
2016-05-26,0.0024007893,0.0005218945,0.0033339038,0.0035243817,0.0037061889
2016-05-27,0.0104738738,0.0083742375,0.0075705722,0.0104620494,0.0089954548
2016-05-30,-0.002057419,0.0007837899,-0.0035688584,0.0015071593,-0.0004569907
2016-05-31,-0.0020365556,0.0017174911,0.0038834549,0.0026517883,0.0002496708
2016-06-01,-0.0001863337,0.0001339801,-0.001249135,-0.0019227806,-0.0036528893
2016-06-02,0.0016291985,0.0033029411,0.0060994951,0.0046922006,0.0024871025
2016-06-03,0.0050460794,0.0046878941,-0.0003443253,0.0036740229,0.0021711383
2016-06-06,0.0078184991,0.0120756915,0.0043087024,0.0059618689,0.0048332987
2016-06-07,0.0059197086,0.0027966481,0.01087764,0.0098066386,0.0095260805
2016-06-08,0.0050047807,0.0075363517,0.0077721793,0.0071890149,0.0053079771
2016-06-09,-0.0065122025,-0.0058290381,-0.0076672044,-0.0066699041,-0.005756842
2016-06-10,-0.0073516913,-0.0051874518,-0.00734592,-0.0072230771,-0.0085645225
2016-06-13,-0.0133872763,-0.0134521909,-0.0167478323,-0.0146601778,-0.0148283131
