Date,^STI,0,5,10
2016-04-25,-0.013748512,-0.0090227593,-0.0109058637,-0.0144763533
2016-04-26,-0.0019396642,0.0023100339,0.0005199797,-0.0022340827
2016-04-27,-0.0069123617,-0.0100544952,-0.0104500242,-0.0087428987
2016-04-28,-0.0043297536,-0.0012109764,-0.0013921969,-0.0054593515
2016-04-29,-0.0083427179,-0.0079055745,-0.006283097,-0.0088200849
2016-05-03,-0.0096713756,-0.006453529,-0.0076287128,-0.0102734361
2016-05-04,-0.0136563868,-0.0084260125,-0.0086707287,-0.0106624141
2016-05-05,-0.0018986192,-0.0023920927,-0.0053736996,0.0084438995
2016-05-06,-0.0134617906,-0.0079628136,-0.0086105242,-0.013158571
2016-05-09,0.0128293218,0.0129815154,-0.0019557066,0.0102768764
2016-05-10,-0.0090464417,-0.0114046726,-0.0108300392,-0.0121277515
2016-05-11,-0.0030251228,-0.001799114,-0.0028705429,-0.0059190094
2016-05-12,0.0045707205,0.0077819927,0.0074793696,0.0067541786
2016-05-13,-0.003824606,0.0014787801,-0.0012367014,-0.0013673082
2016-05-16,0.0004204545,-0.0034978688,-0.0036720466,-0.0037681423
2016-05-17,0.0163312162,0.0140259052,0.0170772299,0.0132674724
2016-05-18,-0.0014393099,0.0004739203,-0.0004818998,-0.0015502796
2016-05-19,-0.0134127525,-0.0087220296,-0.0092621539,-0.0115523338
2016-05-20,0.0086157007,0.0066842781,0.0063110143,0.0051741526
2016-05-23,0.0011245724,0.0030909963,0.0036984049,0.0015572459
2016-05-24,-0.0060538405,-0.0056744106,-0.0070289001,-0.007207755
2016-05-25,0.0059562474,0.0070218742,0.006399937,0.0067586601
2016-05-26,0.0024007893,0.0021365099,0.003828615,0.0022422783
2016-05-27,0.0104738738,0.0081814295,0.0081216469,0.0098454133
2016-05-30,-0.002057419,-0.0005622376,-0.0015391186,-0.0003724433
2016-05-31,-0.0020365556,-0.0013665482,7.23358243704E-05,-0.0011093393
2016-06-01,-0.0001863337,0.0011772141,-0.0020429678,-0.0019690208
2016-06-02,0.0016291985,-0.0003165342,0.0020802207,0.0001099594
2016-06-03,0.0050460794,0.0047640987,0.0002623741,-0.0001026466
2016-06-06,0.0078184991,0.0118423849,0.0015398636,0.0074151829
2016-06-07,0.0059197086,0.0027831364,0.0074274242,0.0075553991
2016-06-08,0.0050047807,0.0061925584,0.0068631135,0.0047298297
2016-06-09,-0.0065122025,-0.0061773937,-0.0064350273,-0.0076559447
2016-06-10,-0.0073516913,-0.0059888754,-0.0064787641,-0.0077193975
2016-06-13,-0.0133872763,-0.0132193659,-0.0147172371,-0.0147914309
2016-06-14,-0.0061579571,-0.0054441709,-0.0052486993,-0.0078361388
2016-06-15,0.0021361619,0.0013949703,0.001826223,0.0015010089
2016-06-16,-0.0082123954,-0.0065868348,-0.0078929104,-0.0082649495
2016-06-17,0.0043009698,0.0015822258,0.0015811492,0.0015231445
2016-06-20,0.0134611101,0.0165570434,0.0110126473,0.0148269124
2016-06-21,-0.0040856988,-0.002127666,-0.0022948552,-0.0019218475
2016-06-22,-0.0011909321,0.0006130766,0.0001682714,-0.0008366853
2016-06-23,0.0027671138,0.0016225893,0.0027705692,0.0013377666
2016-06-24,-0.0211466254,-0.0197812524,-0.0213896073,-0.0221110303
2016-06-27,-0.002027284,0.0002412386,-0.0014166683,-0.0008378215
2016-06-28,0.0097259543,0.0134521173,0.0127250403,0.014469251
2016-06-29,0.013046952,0.0136023946,0.0052342042,0.0117277652
2016-06-30,0.0171118345,0.0166980475,0.0169559568,0.0176272988
2016-07-01,0.0019130999,0.004277667,0.0033255368,0.0011531264
2016-07-04,0.0084626139,0.0051320838,0.0070074685,0.0070950985
2016-07-05,-0.0020540202,-0.0015860572,-0.0008774512,-0.0027671121
2016-07-07,-0.0008730819,9.0379267931E-05,-0.0030433014,-0.00373674
2016-07-08,-0.0053001794,-0.0035524461,-0.0057937019,-0.0059915073
2016-07-11,0.0101692084,0.0100212451,0.0079436377,0.0081069395
2016-07-12,0.0088890696,0.0075051738,0.00809443,0.0078669973
2016-07-13,0.0030382405,0.0023983419,0.0032019131,0.0032693483
2016-07-14,-0.0012823157,-0.000616556,-0.0005921163,-0.0027223527
2016-07-15,0.0063200906,0.0073719658,0.006630104,0.0068994462
2016-07-18,0.0011649635,-0.001389116,0.0001451932,-0.0016573966
2016-07-19,-0.0031530457,-0.0039198175,-0.0047534853,-0.0054850038
2016-07-20,0.0089339725,0.0080653038,0.0078222826,0.0090196393
2016-07-21,-0.001787229,-0.0011154395,-0.0012022201,-0.0053017419
2016-07-22,0.0016548623,0.0022166576,0.0021285824,9.86382365227E-05
2016-07-25,-0.0052764282,-0.0065044593,-0.0081165917,-0.0068110432
2016-07-26,0.0012245151,0.0028646383,0.0033684261,0.0003460087
2016-07-27,0.0027404766,0.0013292022,0.0027877875,0.0030586533
2016-07-28,-0.0078053104,-0.0061114747,-0.0076933932,-0.0076840352
2016-07-29,-0.0172554829,-0.0171704721,-0.0170891322,-0.0137051251
2016-08-01,0.0082726424,0.0062704151,0.0059262887,0.0042426065
2016-08-02,-0.0124715179,-0.0068266187,-0.0168730319,-0.0153085683
2016-08-03,-0.0102353338,-0.0051847026,-0.0062857512,-0.0074004829
2016-08-04,0.0015477879,0.0028395504,0.0029209666,0.0026778989
2016-08-05,-0.0013392059,-0.0031859409,-0.0021995045,-0.0054634437
2016-08-08,0.0149539482,0.0136960931,0.0110449791,0.0133802965
2016-08-10,0.0016671592,0.0012499113,-0.0006881487,-0.0009999983
2016-08-11,-0.0020016054,-0.0038318299,0.0012021177,0.0003490634
2016-08-12,-0.0008436721,0.0016060248,0.0016095396,0.0011921749
2016-08-15,-6.62437391936E-05,0.0060364399,0.0028623566,0.0041015781
2016-08-16,-0.0029374444,-0.0044216067,-0.0024873093,-0.0040567014
2016-08-17,-0.0054190046,-0.0030443724,-0.0046339221,-0.0033445023
2016-08-18,-0.0022428699,-0.0014520641,-0.0025425293,-0.0023127533
2016-08-19,0.0024784522,0.0042215949,0.0035153553,0.0028876401
2016-08-22,-0.0009955936,-0.0029444005,-0.0011480283,-0.003019549
2016-08-23,0.0032468785,0.0051927594,0.0046690926,0.0064032823
2016-08-24,0.0066923802,0.0090451483,0.0083661117,0.0057462193
2016-08-25,0.0025615133,0.0060362183,0.0037397891,0.0014873445
2016-08-26,-0.0067241553,-0.0078951716,-0.0063006561,-0.0057180785
2016-08-29,-0.0099243205,-0.0084009264,-0.0088255927,-0.0109622162
2016-08-30,-0.0003676466,0.0015270412,0.000747202,0.0001667254
