Component,Variance Ratio
1,0.32336855666
2,0.0636715036931
3,0.0298421723579
4,0.0210957401881
5,0.0160754072701
6,0.0131508084191
7,0.0120036147013
8,0.0110702507959
9,0.0099944296703
10,0.00903865560293
11,0.00879696804488
12,0.00828148340458
13,0.00794460048853
14,0.00742771036019
15,0.0071947779327
16,0.00712551508781
17,0.00683979745659
18,0.0066212004801
19,0.00650579930736
20,0.00626096144729
21,0.00605383788899
22,0.00593317194266
23,0.00591228157098
24,0.00577755450483
25,0.00544064278835
26,0.00530231772138
27,0.00523475351615
28,0.00511113044812
29,0.00494955058462
30,0.00491698830783
31,0.00482732218362
32,0.00476062120536
33,0.00454198815363
34,0.00453552003634
35,0.00444801083162
36,0.00431774845127
37,0.00429166977768
38,0.00419390911727
39,0.00401108413104
40,0.00399014961399
41,0.00395422839148
42,0.00389759219666
43,0.00387248817898
44,0.00369335007945
45,0.00366585171416
46,0.00356691497303
47,0.00352969349629
48,0.00345771359038
49,0.00340643123789
50,0.00335903730019
51,0.00333453890053
52,0.00329609730106
53,0.00320301705577
54,0.00318046351034
55,0.00314196336112
56,0.00308727918056
57,0.00303593385041
58,0.00300371453359
59,0.00298562038093
60,0.00293699763715
61,0.00289229034623
62,0.00282850806558
63,0.00279501762407
64,0.00277648663328
65,0.00274638165249
66,0.00270943258808
67,0.00267610824382
68,0.00264948042925
69,0.00261658754011
70,0.00257992906807
71,0.00252378426956
72,0.00249925032368
73,0.00246726609682
74,0.0024087202578
75,0.00238656376516
76,0.00235860927138
77,0.00234829068008
78,0.00230229832317
79,0.00228291605408
80,0.00225452296961
81,0.0022017334738
82,0.00218332219941
83,0.00217886803791
84,0.00216998139512
85,0.00211054624178
86,0.00209618291162
87,0.00208437943835
88,0.00205760919016
89,0.00202937214464
90,0.00199946452204
91,0.00198458352123
92,0.00195249934125
93,0.00192529890494
94,0.00190947926964
95,0.00188746374912
96,0.001877954342
97,0.00185036795453
98,0.00183052518451
99,0.00181039883825
100,0.00180365155219
101,0.00176515996481
102,0.0017588102052
103,0.00172567356891
104,0.00170315421761
105,0.00169961557608
106,0.00167858279894
107,0.00166658409955
108,0.00165584050315
109,0.00161773095829
110,0.0016024425177
111,0.0015876876312
112,0.00157289369506
113,0.00156837240965
114,0.00153387340769
115,0.0015296093018
116,0.00151403490106
117,0.0014910927872
118,0.00147019197428
119,0.00145894057473
120,0.00144752949542
121,0.00142000749311
122,0.00141596595273
123,0.00139659777641
124,0.00137770751198
125,0.00137045604443
126,0.00136107225205
127,0.00134542125173
128,0.0013388180432
129,0.00132344163143
130,0.00130896481182
131,0.0012991866088
132,0.00128290193945
133,0.0012602231875
134,0.00125492128107
135,0.00124464160241
136,0.00122806261143
137,0.00121844346373
138,0.00121002867452
139,0.00119265991508
140,0.00118157139468
141,0.0011500168107
142,0.00114122584259
143,0.00113124916006
144,0.00111834737777
145,0.00109719552783
146,0.00108355730739
147,0.00107811749484
148,0.00107218438268
149,0.00106019119097
150,0.00104616464069
151,0.00103582058917
152,0.00102999638268
153,0.00102745675957
154,0.00100850683008
155,0.000996639435117
156,0.000992327870059
157,0.000982299553559
158,0.000979238979973
159,0.000970089020633
160,0.000953015194019
161,0.000951936702064
162,0.000929614199849
163,0.000916802365605
164,0.000909771059132
165,0.000900742215401
166,0.000891231446733
167,0.000879520733497
168,0.000877899344457
169,0.000869697781477
170,0.000864304833825
171,0.000845852938522
172,0.000836557979794
173,0.000835276225367
174,0.000828493476637
175,0.000821320974541
176,0.000807129286358
177,0.000800904697625
178,0.000792715680723
179,0.0007857403647
180,0.0007742332588
181,0.000769741804028
182,0.000759266746298
183,0.000748693698579
184,0.000745970931923
185,0.000736815001732
186,0.000735128430398
187,0.000725058180709
188,0.000716746631452
189,0.000711107936974
190,0.000709534427855
191,0.00069539575073
192,0.000683255643705
193,0.00068204210135
194,0.000678807600253
195,0.000676712642153
196,0.000662356152381
197,0.00065803611038
198,0.000651323015447
199,0.000646456544023
200,0.000639770116371
201,0.000633030343667
202,0.000627368816037
203,0.000613170131785
204,0.000608748752073
205,0.00060257411093
206,0.000593200703413
207,0.000585723766253
208,0.000579133245609
209,0.000576688734059
210,0.00057508302726
211,0.000563127121598
212,0.000555039684145
213,0.00055162820918
214,0.000546249732536
215,0.000540173979649
216,0.000534470962889
217,0.00052635238494
218,0.00052440682139
219,0.000521152642565
