Date,^GSPC,^^GSPC,0,10,20,30,40
2016-03-14,-0.0012617682,-0.0012617682,-0.0006570369,-0.0016155187,0.0012617507,0.0009856327,0.0007942254
2016-03-15,-0.001838631,-0.001838631,0.0059991172,-0.0029930975,-0.0058474937,-0.0052058995,-0.0062918426
2016-03-16,0.0055847279,0.0055847279,0.0021396484,0.003921289,0.0050773853,0.00518353,0.0083888257
2016-03-17,0.006573583,0.006573583,0.0101391384,0.0110011417,0.0072493078,0.008971598,0.0072304951
2016-03-18,0.0043959671,0.0043959671,0.0022566291,0.0003832933,0.0041558752,0.0053062234,0.0029427176
2016-03-21,0.0009850921,0.0009850921,-0.0025201526,-0.0006286334,-0.0005606008,-0.0033840127,-0.0023277267
2016-03-22,-0.000877773,-0.000877773,-0.0060728965,-0.0032870434,-0.0040690545,-0.0088164546,-0.0008300445
2016-03-23,-0.0064065096,-0.0064065096,0.0003450233,-0.0065770373,-0.0058474946,-0.0052058976,-0.0062918426
2016-03-24,-0.000378142,-0.000378142,0.0026433989,0.0025080983,0.001324072,0.0020013154,0.0034848358
2016-03-28,0.0005451072,0.0005451072,0.0038126605,0.0007200222,-0.0003950633,-0.0007823315,-7.56615772843E-05
2016-03-29,0.0087780121,0.0087780121,0.0077759735,0.0079806484,0.0086676795,0.0068152864,0.0107309781
2016-03-30,0.0043408798,0.0043408798,0.0020709215,-0.0003829282,0.0002215556,0.0023337938,0.0038884273
2016-03-31,-0.0020418424,-0.0020418424,-0.0033735815,0.0002153665,0.0016702428,0.0007238137,0.002264224
2016-04-01,0.006310959,0.006310959,0.0105506098,0.0074020978,0.0062593808,0.0019185739,0.0021887748
2016-04-04,-0.0032134798,-0.0032134798,-0.0060728951,-0.0069475248,-0.0058474937,-0.0117476787,-0.0062918426
2016-04-05,-0.0101962985,-0.0101962985,-0.005503939,-0.0065770373,-0.0058474946,-0.0052058995,-0.0056873402
2016-04-06,0.0104527979,0.0104527979,0.0050654253,0.0067897402,0.0117675615,0.0155901965,0.0122857802
2016-04-07,-0.012048074,-0.012048074,-0.0060728951,0.0060480721,-0.0058474946,-0.0052058995,-0.0062918426
2016-04-08,0.0027827029,0.0027827029,0.0060007358,0.0058906116,0.0039763078,0.0036452543,0.0067064958
2016-04-11,-0.0027435462,-0.0027435462,-0.003471765,-0.0048111714,-0.0040448788,-0.0068683531,-0.0062918426
2016-04-12,0.0096157541,0.0096157541,0.0072030416,0.0064003076,0.0062656086,0.008756157,0.0083286008
2016-04-13,0.0099900697,0.0099900697,0.001918193,0.0056722406,0.0068183979,0.0061446652,0.0089346338
2016-04-14,0.0001729122,0.0001729122,-0.0044130571,-0.0053516217,-0.0045657507,-0.0022591483,-0.0010009841
2016-04-15,-0.0009847697,-0.0009847697,0.004714733,0.0024134964,0.0013214941,4.34424728155E-05,0.0006544259
2016-04-18,0.0065197259,0.0065197259,0.0077490611,0.0066768434,0.0079168836,0.0155901974,0.0098653659
2016-04-19,0.0030797379,0.0030797379,-0.000504347,-0.0004033241,0.0013893684,0.0151274139,0.0003655031
2016-04-20,0.0007612548,0.0007612548,-0.0052131824,-0.0030864608,-0.0031276026,-0.0016220082,-0.0031551647
2016-04-21,-0.0052075629,-0.0052075629,-0.0060728965,-0.0092157498,-0.0058474941,-0.0163345765,-0.0062918426
2016-04-22,4.78587439003E-05,4.78587439003E-05,0.0040145684,0.0057168007,0.0051184036,0.004723602,0.0079746777
2016-04-25,-0.0018136896,-0.0018136896,0.0017530732,-0.0032027233,-0.0038118067,-0.0039395113,-0.0062918426
2016-04-26,0.0018710001,0.0018710001,0.0013333708,0.0018373244,0.0005505928,0.0035722796,0.0034339186
2016-04-27,0.001647994,0.001647994,-0.0032346305,0.0007270798,0.0017865361,0.0008356282,0.0008598911
2016-04-28,-0.0092736357,-0.0092736357,0.0078006992,0.0016133878,-0.0058474941,0.0013634171,-0.0026777377
2016-04-29,-0.0050759493,-0.0050759493,-0.0002093534,-0.0029515531,-0.0054329159,-0.0047117546,-0.0044537033
2016-05-02,0.0077796068,0.0077796068,0.0117447255,0.0080802292,0.0078510083,0.0047210911,0.0092404513
2016-05-03,-0.0087144997,-0.0087144997,-0.0030386362,-0.0065356158,-0.0058474941,-0.0052058995,-0.0034536691
